,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
44,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,,Chateau Lalande Borie,,"St. Julien, Bordeaux",波爾多,France,法國,,
45,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Cos d’Estournel,,Chateau Cos d’Estournel,,"St. Estephe, Bordeaux",波爾多,France,法國,,
46,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Cos d’Estournel,,Pagodes de Cos,,"St. Estephe, Bordeaux",波爾多,France,法國,,
47,Bordeaux Grand Cru Classe 2nd Growths,White,白酒,Chateau Cos d’Estournel,,Chateau Cos d'Estournel Blanc,,"St. Estephe, Bordeaux",波爾多,France,法國,,
48,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Cos d’Estournel,,Goulee by Cos d’Estournel,,"St. Estephe, Bordeaux",波爾多,France,法國,,
49,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,,Chateau Montrose,,"St. Estephe, Bordeaux",波爾多,France,法國,,
50,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,,La Dame de Montrose,,"St. Estephe, Bordeaux",波爾多,France,法國,,
51,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,,Le Saint Estephe de Montrose,,"St. Estephe, Bordeaux",波爾多,France,法國,,
52,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Kirwan,,Chateau Kirwan,,,波爾多,France,法國,,
53,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Kirwan,,Charmes de Kirwan,,,波爾多,France,法國,,
54,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,Chateau d’Issan,,"Margaux, Bordeaux",波爾多,France,法國,,
55,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,Blason d'Issan,,"Margaux, Bordeaux",波爾多,France,法國,,
56,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,Le Haut Medoc d'Issan,,Bordeaux,波爾多,France,法國,,
57,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau d’Issan,,Moulin d'Issan,,Bordeaux,波爾多,France,法國,,
58,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,
59,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,Les Fiefs de Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,
60,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,Le Haut Medoc de Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,
61,Bordeaux Grand Cru Classe 3rd Growths,White,白酒,Chateau Lagrange,,Les Arums de Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,
62,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Langoa Barton,,Chateau Langoa Barton,,"St. Julien, Bordeaux",波爾多,France,法國,,
63,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,Chateau Giscours,,"Margaux, Bordeaux",波爾多,France,法國,,
64,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,Le Sirene de Giscours,,"Margaux, Bordeaux",波爾多,France,法國,,
65,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,Chateau Duthil,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
66,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Giscours,,Le Haut Medoc de Giscours,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
67,Bordeaux Grand Cru Classe 3rd Growths,Rose,玫瑰酒,Chateau Giscours,,Le Rose de Giscours,,Bordeaux,波爾多,France,法國,,
68,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Malescot St. Exupery,,Chateau Malescot St. Exupery,,"Margaux, Bordeaux",波爾多,France,法國,,
69,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Boyd Cantenac,,Chateau Boyd Cantenac,,"Margaux, Bordeaux",波爾多,France,法國,,
70,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Boyd Cantenac,,Jacques Boyd,,"Margaux, Bordeaux",波爾多,France,法國,,
71,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Boyd Cantenac,,Josephine de Boyd,,"Margaux, Bordeaux",波爾多,France,法國,,
72,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Boyd Cantenac,,Clos Maucaillou,,Bordeaux,波爾多,France,法國,,
73,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Cantenac Brown,,Chateau Cantenac Brown,,"Medoc, Bordeaux",波爾多,France,法國,,
74,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Cantenac Brown,,Brio de Cantenac Brown,,"Medoc, Bordeaux",波爾多,France,法國,,
75,Bordeaux Grand Cru Classe 3rd Growths,White,白酒,Chateau Cantenac Brown,,Alto de Cantenac Brown,,"Medoc, Bordeaux",波爾多,France,法國,,
76,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Cantenac Brown,,Chateau Brown Lamartine,,"Medoc, Bordeaux",波爾多,France,法國,,
77,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,,Chateau Palmer,,"Margaux, Bordeaux",波爾多,France,法國,,
78,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,,Alter Ego,,"Margaux, Bordeaux",波爾多,France,法國,,
79,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau La Lagune,,Chateau La Lagune,,,波爾多,France,法國,,
80,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Desmirail,,Chateau Desmirail,,"Margaux, Bordeaux",波爾多,France,法國,,
81,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Desmirail,,Initial de Desmirail,,"Margaux, Bordeaux",波爾多,France,法國,,
82,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Desmirail,,Chateau Fontarney,,"Margaux, Bordeaux",波爾多,France,法國,,
83,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Desmirail,,Origine de Desmirail,,"Margaux, Bordeaux",波爾多,France,法國,,
84,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Desmirail,,Haut Medoc de Desmirail,,"Margaux, Bordeaux",波爾多,France,法國,,
85,Bordeaux Grand Cru Classe 3rd Growths,Rose,玫瑰酒,Chateau Desmirail,,Le Rose de Desmirail,,"Margaux, Bordeaux",波爾多,France,法國,,
86,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur,,Chateau Calon Segur,,"St. Estephe, Bordeaux",波爾多,France,法國,,
87,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur,,Le Marquis de Calon Segur,,"St. Estephe, Bordeaux",波爾多,France,法國,,
88,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur,,Chateau Calpbern,,"St. Estephe, Bordeaux",波爾多,France,法國,,
89,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Ferriere,,Chateau Ferriere,,"Margaux, Bordeaux",波爾多,France,法國,,
90,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Ferriere,,Les Remparts de Ferriere,,"Margaux, Bordeaux",波爾多,France,法國,,
91,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Marquis d'Alesme,,Chateau Marquis d'Alesme,,"Margaux, Bordeaux",波爾多,France,法國,,
92,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Henri Martin,,Chateau Saint-Pierre,,"St. Julien, Bordeaux",波爾多,France,法國,,
93,,Red,紅酒,Domaines Henri Martin,,Chateau Gloria,,"St. Julien, Bordeaux",波爾多,France,法國,,
94,,Red,紅酒,Domaines Henri Martin,,Chateau Bel Air,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
95,,Red,紅酒,Domaines Henri Martin,,Chateau Haut Beychevelle Gloria,,"St. Julien, Bordeaux",波爾多,France,法國,,
96,,Red,紅酒,Domaines Henri Martin,,Chateau Pey Martin,,"St. Julien, Bordeaux",波爾多,France,法國,,
97,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,,Chateau Talbot,,"St. Julien, Bordeaux",波爾多,France,法國,,
98,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,,Connetable Talbot,,"St. Julien, Bordeaux",波爾多,France,法國,,
99,Bordeaux Grand Cru Classe 4th Growths,White,白酒,Chateau Talbot,,Caillou Blanc,,"St. Julien, Bordeaux",波爾多,France,法國,,
100,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,,Seigneur de Talbot,,"St. Julien, Bordeaux",波爾多,France,法國,,
101,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Barons de Rothschild,,Chateau Duhart-Milon,,"Pauillac, Bordeaux",波爾多,France,法國,,
102,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Barons de Rothschild,,Moulin de Duhart,,"Pauillac, Bordeaux",波爾多,France,法國,,
103,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Branaire Ducru,,Chateau Branaire Ducru,,"St. Julien, Bordeaux",波爾多,France,法國,,
104,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Branaire Ducru,,Duluc de Branaire Ducru,,"St. Julien, Bordeaux",波爾多,France,法國,,
105,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Pouget,,Chateau Pouget,,"Margaux, Bordeaux",波爾多,France,法國,,
106,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Pouget,,Antoine Pouget,,"Margaux, Bordeaux",波爾多,France,法國,,
107,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Bernard Magrez,,Chateau La Tour Carnet,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
108,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Bernard Magrez,,Les Pensees de la Tour Carnet,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
109,Bordeaux Grand Cru Classe 4th Growths,White,白酒,Bernard Magrez,,Chateau La Tour Carnet Blanc,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
110,,Red,紅酒,Bernard Magrez,,Cuvee Les Douves,,Bordeaux,波爾多,France,法國,,
111,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Lafon Rochet,,Chateau Lafon Rochet,,"St. Estephe, Bordeaux",波爾多,France,法國,,
112,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Lafon Rochet,,Les Pelerins de Lafon Rochet,,"St. Estephe, Bordeaux",波爾多,France,法國,,
113,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Beychevelle,,Chateau Beychevelle,,"St. Julien, Bordeaux",波爾多,France,法國,,
114,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Beychevelle,,Amiral de Beychevelle,,"St. Julien, Bordeaux",波爾多,France,法國,,
