,Wine,Vintage,Format,Region,Cost,Qty,Negoce
74,CHATEAU MARGAUX,2011,75cl,Bordeaux,350.0,0,Joanne
75,CHATEAU MARGAUX,2008,75cl,Bordeaux,340.0,0,Joanne
76,CHATEAU MARGAUX,2007,75cl,Bordeaux,338.0,0,Joanne
77,CHATEAU MARGAUX,2006,75cl,Bordeaux,360.0,0,Joanne
78,CHATEAU MARGAUX,2004,75cl,Bordeaux,330.0,0,Joanne
79,CHATEAU MARGAUX,2002,75cl,Bordeaux,340.0,0,Joanne
80,CHATEAU MARGAUX,2001,75cl,Bordeaux,385.0,0,Joanne
81,CHATEAU MARQUIS DE TERME,2011,75cl,Bordeaux,24.6,0,Joanne
82,CHATEAU MONBRISON,2013,75cl,Bordeaux,15.3,0,Joanne
83,CHATEAU MONBRISON,2011,75cl,Bordeaux,17.5,0,Joanne
84,CHATEAU PALMER,2012,75cl,Bordeaux,178.0,0,Joanne
85,CHATEAU PALMER,2011,75cl,Bordeaux,170.0,0,Joanne
86,CHATEAU PALMER,2007,75cl,Bordeaux,145.0,0,Joanne
87,CHATEAU PALMER,2005,75cl,Bordeaux,275.0,0,Joanne
88,CHATEAU PALMER,2004,75cl,Bordeaux,165.0,0,Joanne
89,CHATEAU PALMER,2002,75cl,Bordeaux,162.0,0,Joanne
90,CHATEAU PRIEURE LICHINE,2011,75cl,Bordeaux,28.0,0,Joanne
91,CHATEAU PRIEURE LICHINE,2010,75cl,Bordeaux,37.5,0,Joanne
92,CHATEAU RAUZAN GASSIES,2011,75cl,Bordeaux,38.5,0,Joanne
93,CHATEAU RAUZAN SEGLA,2013,75cl,Bordeaux,37.0,0,Joanne
94,CHATEAU RAUZAN SEGLA,2010,75cl,Bordeaux,84.0,0,Joanne
95,CHATEAU RAUZAN SEGLA,2007,75cl,Bordeaux,45.0,0,Joanne
96,CHATEAU RAUZAN SEGLA,2006,75cl,Bordeaux,55.0,0,Joanne
97,CHATEAU RAUZAN SEGLA,2005,75cl,Bordeaux,98.0,0,Joanne
98,CHATEAU RAUZAN SEGLA,2004,75cl,Bordeaux,54.0,0,Joanne
99,CHATEAU SIRAN,2013,75cl,Bordeaux,13.75,0,Joanne
100,CHATEAU SIRAN,2006,75cl,Bordeaux,20.5,0,Joanne
101,CHATEAU TOUR DE MONS,2013,75cl,Bordeaux,10.7,0,Joanne
102,CHATEAU TOUR DE MONS,2010,75cl,Bordeaux,16.0,0,Joanne
103,CHATEAU TOUR DE MONS,2008,75cl,Bordeaux,15.0,0,Joanne
104,CHEVALIER DE LASCOMBES,2012,75cl,Bordeaux,20.5,0,Joanne
105,LES HAUTS DU TERTRE,2013,75cl,Bordeaux,12.8,0,Joanne
106,PAVILLON ROUGE CHATEAU MARGAUX,2012,75cl,Bordeaux,117.0,0,Joanne
107,PAVILLON ROUGE CHATEAU MARGAUX,2011,75cl,Bordeaux,119.0,0,Joanne
108,PAVILLON ROUGE CHATEAU MARGAUX,2010,75cl,Bordeaux,125.0,0,Joanne
