Wine,Region,Country,Vintage,Format,No. of Bottles Available,Cost,Source,Date,Validity,Location
Lafite,Bordeaux,France,2010,750ml,,5458,EWI,,,Hong Kong
Lafite,Bordeaux,France,2011,750ml,,3487,Negoce 1,,,France
Lafite,Bordeaux,France,2012,750ml,,3225,EWI,,,USA
Lafite,Bordeaux,France,2014,750ml,,2918,EWI,,,			
Lafite,Bordeaux,France,2013,750ml,,2861,EWI,,,			
Pape Clement,Bordeaux,France,2010,750ml,,1429,Negoce 2,,,			
Rauzan Segla,Bordeaux,France,2010,750ml,,684,Negoce 2,,,	

