,Wine,Vintage,Format,Region,Cost,Qty,Negoce
74,CH. CROIZET BAGES,2012,37.5cl,Bordeaux,11.5,0,Dubos
75,LACOSTE BORIE,2012,37.5cl,Bordeaux,8.4,0,Dubos
76,CH. LYNCH MOUSSAS,2012,37.5cl,Bordeaux,11.5,0,Dubos
77,CH. PEDESCLAUX,2012,37.5cl,Bordeaux,12.5,0,Dubos
78,CH. LANGOA BARTON,2012,37.5cl,Bordeaux,17.0,0,Dubos
79,CH. LEOVILLE BARTON,2012,37.5cl,Bordeaux,25.5,0,Dubos
80,CH. CANTENAC BROWN,2012,37.5cl,Bordeaux,14.8,0,Dubos
81,CH. DESMIRAIL,2012,37.5cl,Bordeaux,10.0,0,Dubos
82,CH. DURFORT VIVENS,2012,37.5cl,Bordeaux,14.8,0,Dubos
83,CH. SIRAN,2012,37.5cl,Bordeaux,7.95,0,Dubos
84,LA SIRENE DE GISCOURS,2012,37.5cl,Bordeaux,10.0,0,Dubos
85,LES ALLEES DE CANTEMERLE,2012,37.5cl,Bordeaux,5.6,0,Dubos
86,CH. DE CAMENSAC,2012,37.5cl,Bordeaux,8.6,0,Dubos
87,CH. CANTEMERLE,2012,37.5cl,Bordeaux,10.25,0,Dubos
88,LE HAUT-MEDOC DE MONBRISON,2012,37.5cl,Bordeaux,4.5,0,Dubos
89,L'HERITAGE DE CHASSE SPLEEN,2012,37.5cl,Bordeaux,5.0,0,Dubos
90,CH. FOURCAS DUPRE,2012,37.5cl,Bordeaux,4.8,0,Dubos
91,CH. MAUVESIN BARTON,2012,37.5cl,Bordeaux,5.75,0,Dubos
92,CH. POUJEAUX,2012,37.5cl,Bordeaux,9.25,0,Dubos
93,CH. CORBIN,2012,37.5cl,Bordeaux,9.75,0,Dubos
94,CH. L'EVANGILE,2012,37.5cl,Bordeaux,55.0,0,Dubos
95,CH. BROWN ROUGE,2012,37.5cl,Bordeaux,7.8,0,Dubos
96,CLOS DES CARMES HAUT BRION,2012,37.5cl,Bordeaux,6.75,0,Dubos
97,CH. COUTET,2012,37.5cl,Bordeaux,17.0,0,Dubos
98,CARMES DE RIEUSSEC,2012,37.5cl,Bordeaux,7.5,0,Dubos
99,L'EXTRAVAGANT DE DOISY DAENE,2012,37.5cl,Bordeaux,135.0,0,Dubos
100,FRANK PHELAN,2013,37.5cl,Bordeaux,7.5,0,Dubos
101,CH. LAFON ROCHET,2013,37.5cl,Bordeaux,11.75,0,Dubos
102,CH. LILIAN LADOUYS,2013,37.5cl,Bordeaux,5.95,0,Dubos
103,CH. ORMES DE PEZ,2013,37.5cl,Bordeaux,8.9,0,Dubos
104,CH. PHELAN SEGUR,2013,37.5cl,Bordeaux,11.4,0,Dubos
105,CH. GRAND PUY LACOSTE,2013,37.5cl,Bordeaux,17.0,0,Dubos
106,CH. HAUT BATAILLEY,2013,37.5cl,Bordeaux,11.75,0,Dubos
107,LACOSTE BORIE,2013,37.5cl,Bordeaux,7.8,0,Dubos
108,CH. PEDESCLAUX,2013,37.5cl,Bordeaux,10.25,0,Dubos
109,LES FIEFS DE LAGRANGE,2013,37.5cl,Bordeaux,7.95,0,Dubos
110,CH. LALANDE BORIE,2013,37.5cl,Bordeaux,7.98,0,Dubos
111,CH. LEOVILLE BARTON,2013,37.5cl,Bordeaux,22.8,0,Dubos
112,LE BARON DE BRANE,2013,37.5cl,Bordeaux,8.15,0,Dubos
113,BLASON D'ISSAN,2013,37.5cl,Bordeaux,7.95,0,Dubos
114,CH. CANTENAC BROWN,2013,37.5cl,Bordeaux,13.5,0,Dubos
115,CH. DESMIRAIL,2013,37.5cl,Bordeaux,9.9,0,Dubos
116,CH. DURFORT VIVENS,2013,37.5cl,Bordeaux,11.75,0,Dubos
117,CH. GISCOURS,2013,37.5cl,Bordeaux,16.5,0,Dubos
