,Wine,Vintage,Format,Cost,Qty,Negoce
93,TAILLEFER,1989,1500ml,34.5,48,RCA
94,TAILLEFER,1988,1500ml,34.5,60,RCA
95,TALBOT,1996,1500ml,179.0,60,RCA
96,TOUR CARNET (LA),2013,1500ml,42.0,186,RCA
97,YQUEM (D'),2014,1500ml,500.0,60,RCA
98,YQUEM (D') / Y DE YQUEM,2015,1500ml,200.0,18,RCA
99,ARMAND DE BRIGNAC Brut,NV,3000ml,1690.0,6,RCA
100,ARMAND DE BRIGNAC Rosé,NV,3000ml,2450.0,6,RCA
101,DOMAINE PEGAU / CUVEE DA CAPO,2010,3000ml,1350.0,5,RCA
102,SASSICAIA (San Guido),2013,3000ml,465.0,1,RCA
103,ARMAILHAC (Mouton),2011,3000ml,172.0,6,RCA
104,ARMAILHAC (Mouton),2009,3000ml,182.0,5,RCA
105,ARMAILHAC (Mouton),2005,3000ml,237.0,4,RCA
106,ARMAILHAC (Mouton),2003,3000ml,200.0,2,RCA
107,ARMAILHAC (Mouton),1997,3000ml,169.0,2,RCA
108,ARMAILHAC (Mouton),1996,3000ml,219.0,2,RCA
109,BEYCHEVELLE,2014,3000ml,260.0,11,RCA
110,BRANAIRE DUCRU,2014,3000ml,158.0,11,RCA
111,BRANAIRE DUCRU,2008,3000ml,220.0,4,RCA
112,CHEVAL BLANC,2014,3000ml,1450.0,3,RCA
113,CHEVAL BLANC,2013,3000ml,1300.0,1,RCA
114,CHEVAL BLANC,2009,3000ml,3045.0,6,RCA
115,CHEVAL BLANC,2007,3000ml,1500.0,6,RCA
116,CHEVAL BLANC,2006,3000ml,1600.0,3,RCA
117,CLINET,2014,3000ml,215.0,11,RCA
118,"Domaine de Chev./Clos Lunes ""Argent""",2015,3000ml,47.0,200,RCA
119,HAUT BRION,2014,3000ml,1120.0,2,RCA
120,HAUT BRION,2013,3000ml,1200.0,1,RCA
121,ISSAN (D'),2014,3000ml,120.0,5,RCA
122,LAFITE ROTHSCHILD,2014,3000ml,1400.0,5,RCA
123,LAFITE ROTHSCHILD,2005,3000ml,4380.0,1,RCA
124,LAFITE ROTHSCHILD,2004,3000ml,3800.0,1,RCA
125,LAFITE ROTHSCHILD,1996,3000ml,6100.0,1,RCA
126,LAFITE ROTHSCHILD,1991,3000ml,3050.0,1,RCA
127,LAFITE ROTHSCHILD,1978,3000ml,3050.0,2,RCA
128,LAGRANGE,2014,3000ml,120.0,5,RCA
129,LASCOMBES,2014,3000ml,190.0,5,RCA
130,LEOVILLE POYFERRE,1994,3000ml,242.0,9,RCA
131,LEOVILLE POYFERRE,1993,3000ml,220.0,12,RCA
132,MOUTON ROTHSCHILD,2014,3000ml,1350.0,2,RCA
133,MOUTON ROTHSCHILD,2010,3000ml,2955.0,2,RCA
134,MOUTON ROTHSCHILD,2009,3000ml,2955.0,2,RCA
135,MOUTON ROTHSCHILD,2008,3000ml,1860.0,3,RCA
136,MOUTON ROTHSCHILD,2003,3000ml,1860.0,3,RCA
137,MOUTON ROTHSCHILD,2002,3000ml,2050.0,1,RCA
138,MOUTON ROTHSCHILD,1998,3000ml,1950.0,3,RCA
139,PALMER / ALTER EGO,2014,3000ml,165.0,3,RCA
140,PAPE CLEMENT,2014,3000ml,240.0,6,RCA
141,PAVIE,2014,3000ml,800.0,6,RCA
142,PONTET CANET,2014,3000ml,330.0,6,RCA
143,RAUZAN GASSIES,2012,3000ml,201.0,2,RCA
144,RAUZAN GASSIES,2011,3000ml,205.0,2,RCA
145,RAUZAN GASSIES,2000,3000ml,495.0,5,RCA
146,RAUZAN GASSIES,1997,3000ml,364.0,2,RCA
147,RAUZAN SEGLA,2014,3000ml,170.0,1,RCA
148,YQUEM (D'),2014,3000ml,1000.0,10,RCA
149,YQUEM (D') / Y DE YQUEM,2015,3000ml,400.0,1,RCA
150,ARMAILHAC (Mouton),2009,375ml,24.0,120,RCA
151,ARMAILHAC (Mouton),2005,375ml,31.0,120,RCA
152,ARMAILHAC (Mouton),2003,375ml,26.0,120,RCA
153,BRANAIRE DUCRU,2012,375ml,16.0,48,RCA
154,CLIMENS,2009,375ml,36.0,24,RCA
155,CLOS HAUT PEYRAGUEY/ SYMPHONIE...,2012,375ml,8.5,1200,RCA
156,DOISY DAËNE L'EXTRAVAGANT - price/375ml,2015,375ml,138.0,6,RCA
157,FONPLEGADE,2012,375ml,15.0,120,RCA
158,FONPLEGADE,2011,375ml,13.7,120,RCA
159,FONPLEGADE,2010,375ml,18.75,192,RCA
160,FONPLEGADE/FLEUR DE FONPLEGADE,2007,375ml,6.0,640,RCA
161,GISCOURS,2009,375ml,32.0,24,RCA
162,GUIRAUD / PETIT GUIRAUD,2013,375ml,7.2,240,RCA
163,HAUT BRION / CLARENCE HAUT BRION,2012,375ml,37.0,72,RCA
164,HAUT BRION / CLARENCE HAUT BRION,2011,375ml,41.0,24,RCA
165,HAUT BRION / CLARENCE HAUT BRION,2010,375ml,57.0,24,RCA
166,HAUT BRION / CLARENCE HAUT BRION,2009,375ml,52.0,24,RCA
167,LAFITE ROTHSCHILD,2013,375ml,205.0,60,RCA
168,LAFITE ROTHSCHILD / CARRUADES DE…,2013,375ml,82.0,120,RCA
169,LARRIVET HAUT BRION Blanc,2014,375ml,14.5,60,RCA
170,LARRIVET HAUT BRION Blanc,2013,375ml,14.5,600,RCA
171,LEOVILLE LAS CASES,2007,375ml,62.5,120,RCA
172,LYNCH BAGES,2000,375ml,106.0,120,RCA
173,LYNCH BAGES,1998,375ml,53.0,24,RCA
174,MEYNEY,1999,375ml,12.5,168,RCA
175,PICHON BARON,2012,375ml,42.5,90,RCA
176,PICHON BARON,2006,375ml,48.0,120,RCA
177,PICHON BARON,2005,375ml,52.5,120,RCA
178,PICHON LALANDE,2008,375ml,45.5,72,RCA
179,PICHON LALANDE,2007,375ml,43.0,72,RCA
180,RIEUSSEC (Domaine Lafite),2013,375ml,26.5,120,RCA
181,RIEUSSEC (Domaine Lafite),2011,375ml,27.5,36,RCA
182,RIEUSSEC (Domaine Lafite),2007,375ml,24.5,600,RCA
183,YQUEM (D'),2014,375ml,125.0,300,RCA
184,YQUEM (D'),2007,375ml,228.0,274,RCA
185,YQUEM (D'),1998,375ml,103.0,198,RCA
186,YQUEM (D'),1989,375ml,165.0,48,RCA
187,ARMAILHAC (Mouton),2009,5000ml,303.0,3,RCA
188,ARMAILHAC (Mouton),2005,5000ml,394.0,3,RCA
189,ARMAILHAC (Mouton),2003,5000ml,334.0,2,RCA
190,CANTENAC BROWN,2011,5000ml,294.0,4,RCA
191,CANTENAC BROWN,2008,5000ml,360.0,2,RCA
192,CANTENAC BROWN,2007,5000ml,351.0,3,RCA
193,CANTENAC BROWN,2006,5000ml,399.0,3,RCA
194,CANTENAC BROWN,2004,5000ml,384.0,2,RCA
195,CHEVAL BLANC,2006,5000ml,2630.0,5,RCA
196,LEOVILLE POYFERRE,1994,5000ml,385.0,6,RCA
197,LEOVILLE POYFERRE,1993,5000ml,347.0,3,RCA
198,MOUTON ROTHSCHILD,2010,5000ml,4924.0,1,RCA
199,MOUTON ROTHSCHILD,2009,5000ml,4924.0,1,RCA
200,MOUTON ROTHSCHILD,2003,5000ml,3030.0,1,RCA
201,MOUTON ROTHSCHILD,2001,5000ml,3106.0,2,RCA
202,MOUTON ROTHSCHILD,2000,5000ml,13650.0,1,RCA
203,MOUTON ROTHSCHILD,1995,5000ml,3409.0,2,RCA
204,RAUZAN GASSIES,2012,5000ml,318.0,2,RCA
205,RAUZAN GASSIES,2011,5000ml,324.0,2,RCA
206,RAUZAN GASSIES,2007,5000ml,339.0,5,RCA
207,RAUZAN GASSIES,2000,5000ml,805.0,4,RCA
208,DOMAINE PEGAU / CUVEE DA CAPO,2010,6000ml,3200.0,2,RCA
209,ARMAILHAC (Mouton),2009,6000ml,364.0,3,RCA
210,ARMAILHAC (Mouton),2005,6000ml,473.0,3,RCA
211,ARMAILHAC (Mouton),2003,6000ml,400.0,2,RCA
212,BRANAIRE DUCRU,2014,6000ml,305.0,2,RCA
213,BRANAIRE DUCRU,2012,6000ml,320.0,1,RCA
214,BRANAIRE DUCRU,2008,6000ml,415.0,6,RCA
215,CHEVAL BLANC,2014,6000ml,2900.0,3,RCA
216,CHEVAL BLANC,2009,6000ml,6090.0,10,RCA
217,CHEVAL BLANC,2007,6000ml,3190.0,1,RCA
218,CLINET,2014,6000ml,416.0,2,RCA
219,GISCOURS,2010,6000ml,470.0,10,RCA
220,GISCOURS,1998,6000ml,450.0,6,RCA
221,HAUT BRION,2014,6000ml,2320.0,1,RCA
222,ISSAN (D'),2014,6000ml,260.0,2,RCA
223,LAFITE ROTHSCHILD,2014,6000ml,2950.0,2,RCA
224,LAGRANGE,2014,6000ml,265.0,2,RCA
225,LEOVILLE POYFERRE,2012,6000ml,505.0,3,RCA
226,MONTROSE,2010,6000ml,3355.0,1,RCA
227,MOUTON ROTHSCHILD,2011,6000ml,3325.0,2,RCA
228,MOUTON ROTHSCHILD,2010,6000ml,5910.0,1,RCA
229,MOUTON ROTHSCHILD,2009,6000ml,5910.0,1,RCA
230,MOUTON ROTHSCHILD,2008,6000ml,3690.0,2,RCA
231,MOUTON ROTHSCHILD,2004,6000ml,3525.0,1,RCA
232,MOUTON ROTHSCHILD,1999,6000ml,3690.0,3,RCA
233,MOUTON ROTHSCHILD,1995,6000ml,4091.0,2,RCA
234,PALMER / ALTER EGO,2014,6000ml,340.0,3,RCA
235,PAPE CLEMENT,2014,6000ml,500.0,3,RCA
236,PAVIE,2014,6000ml,1700.0,3,RCA
237,PICHON BARON,2006,6000ml,865.0,2,RCA
238,PICHON BARON,2004,6000ml,865.0,1,RCA
239,PONTET CANET,2014,6000ml,650.0,3,RCA
240,RAUZAN GASSIES,2012,6000ml,378.0,2,RCA
241,RAUZAN GASSIES,2011,6000ml,386.0,2,RCA
242,RAUZAN GASSIES,2007,6000ml,405.0,5,RCA
243,RAUZAN GASSIES,2006,6000ml,405.0,1,RCA
244,RAUZAN GASSIES,2000,6000ml,960.0,2,RCA
245,RAUZAN GASSIES,1997,6000ml,432.0,1,RCA
246,RAUZAN SEGLA,2014,6000ml,350.0,2,RCA
247,SMITH HAUT LAFITTE,2006,6000ml,910.0,1,RCA
248,SMITH HAUT LAFITTE,2004,6000ml,570.0,1,RCA
249,SMITH HAUT LAFITTE,1999,6000ml,910.0,3,RCA
250,YQUEM (D'),2014,6000ml,2000.0,10,RCA
251,DRC/ROMANEE CONTI,2013,750ml,13000.0,2,RCA
252,DRC/ROMANEE CONTI,2012,750ml,11850.0,2,RCA
253,DRC/ROMANEE CONTI,2011,750ml,11500.0,2,RCA
254,DRC/ROMANEE CONTI,2009,750ml,11900.0,2,RCA
255,DRC/ROMANEE CONTI,2008,750ml,11850.0,2,RCA
256,DRC/ROMANEE CONTI,2007,750ml,11500.0,2,RCA
257,DRC/ROMANEE CONTI,2002,750ml,11800.0,2,RCA
258,DRC/ROMANEE CONTI,2001,750ml,11900.0,1,RCA
259,DRC/ROMANEE CONTI,2000,750ml,11850.0,1,RCA
260,DRC/ROMANEE CONTI,1999,750ml,13900.0,1,RCA
261,DRC/ROMANEE CONTI,1990,750ml,17050.0,1,RCA
262,DRC/ROMANEE CONTI,1988,750ml,14200.0,1,RCA
263,DRC/ROMANEE CONTI,1974,750ml,8600.0,1,RCA
264,DRC/ROMANEE CONTI,1969,750ml,8500.0,1,RCA
265,DRC/ECHEZEAUX,2008,750ml,1015.0,2,RCA
266,DRC/ECHEZEAUX,2004,750ml,1040.0,1,RCA
267,DRC/ECHEZEAUX,2001,750ml,1150.0,3,RCA
268,DRC/ECHEZEAUX,2000,750ml,1200.0,2,RCA
269,DRC/GRANDS ECHEZEAUX,2012,750ml,1150.0,3,RCA
270,DRC/GRANDS ECHEZEAUX,2011,750ml,1160.0,16,RCA
271,DRC/GRANDS ECHEZEAUX,2010,750ml,1280.0,1,RCA
272,DRC/GRANDS ECHEZEAUX,1999,750ml,1600.0,1,RCA
273,DRC/CORTON,2013,750ml,1000.0,6,RCA
274,DRC/CORTON,2011,750ml,885.0,1,RCA
275,DRC/LA TACHE,2013,750ml,2500.0,3,RCA
276,DRC/LA TACHE,2012,750ml,2770.0,31,RCA
277,DRC/LA TACHE,2011,750ml,2400.0,1,RCA
278,DRC/LA TACHE,2010,750ml,2900.0,1,RCA
279,DRC/LA TACHE,2006,750ml,2500.0,6,RCA
280,DRC/LA TACHE,2005,750ml,4210.0,1,RCA
281,DRC/LA TACHE,2002,750ml,2850.0,1,RCA
282,DRC/LA TACHE,2001,750ml,2250.0,2,RCA
283,DRC/LA TACHE,1999,750ml,4700.0,1,RCA
284,DRC/LA TACHE,1990,750ml,4500.0,2,RCA
285,DRC/LA TACHE,1985,750ml,5100.0,1,RCA
286,DRC/LA TACHE,1965,750ml,1530.0,1,RCA
287,DRC/MONTRACHET,2008,750ml,3900.0,1,RCA
288,DRC/RICHEBOURG,2012,750ml,1730.0,5,RCA
289,DRC/RICHEBOURG,2003,750ml,1875.0,3,RCA
290,DRC/RICHEBOURG,2001,750ml,1650.0,2,RCA
291,DRC/RICHEBOURG,2000,750ml,1550.0,1,RCA
292,DRC/RICHEBOURG,1996,750ml,1600.0,2,RCA
293,DRC/RICHEBOURG,1994,750ml,1350.0,2,RCA
294,DRC/RICHEBOURG,1974,750ml,900.0,1,RCA
295,DRC/RICHEBOURG,1963,750ml,1600.0,1,RCA
296,DRC/ROMANEE SAINT VIVANT,2012,750ml,1420.0,3,RCA
297,DRC/ROMANEE SAINT VIVANT,2009,750ml,1310.0,1,RCA
298,DRC/ROMANEE SAINT VIVANT,2006,750ml,995.0,2,RCA
299,DRC/ROMANEE SAINT VIVANT,2001,750ml,1280.0,3,RCA
300,DRC/ROMANEE SAINT VIVANT,1999,750ml,1500.0,2,RCA
301,DRC/ROMANEE SAINT VIVANT,1997,750ml,1200.0,1,RCA
302,ARMAND DE BRIGNAC Brut,NV,750ml,199.0,180,RCA
303,ARMAND DE BRIGNAC Rosé,NV,750ml,370.0,180,RCA
304,BILLECART SALMON,NV,750ml,32.0,300,RCA
305,BILLECART SALMON Rosé,NV,750ml,46.0,300,RCA
306,CRISTAL - Louis Roederer Blanc,2005,750ml,140.0,600,RCA
307,DOM PERIGNON,2006,750ml,109.0,600,RCA
308,DOM PERIGNON OENOTHEQUE,1995,750ml,296.0,12,RCA
309,DOM PERIGNON OENOTHEQUE,1990,750ml,495.0,9,RCA
310,MUMM BRUT,NV,750ml,25.0,480,RCA
311,MUMM Cordon Rouge,NV,750ml,22.5,480,RCA
312,PERRIER JOUET,NV,750ml,28.0,1200,RCA
313,PERRIER JOUET Belle Epoque,2007,750ml,90.0,24,RCA
314,PERRIER JOUET Blason Rosé,NV,750ml,38.0,120,RCA
315,"PIPER HEIDSIECK ""RARE""",2002,750ml,155.0,12,RCA
316,TAITTINGER/COMTES DE CHAMPAGNE,2006,750ml,76.0,240,RCA
317,CLOS SAINT JEAN LA COMBE DES FOUS,2009,750ml,99.0,4,RCA
318,DOMAINE de la Janasse / VIEILLES VIGNES,2012,750ml,53.0,36,RCA
319,DOMAINE de la Janasse / VIEILLES VIGNES,2011,750ml,53.0,5,RCA
320,DOMAINE PEGAU / CUVEE DA CAPO,2010,750ml,330.0,6,RCA
321,ALMAVIVA,2013,750ml,91.0,60,RCA
322,ALMAVIVA,2010,750ml,85.5,72,RCA
323,SASSICAIA (San Guido),2013,750ml,119.0,144,RCA
324,SASSICAIA (San Guido),2012,750ml,118.0,132,RCA
325,SASSICAIA (San Guido),2010,750ml,152.0,84,RCA
326,SASSICAIA (San Guido),2009,750ml,134.0,48,RCA
327,SASSICAIA (San Guido),1990,750ml,332.0,4,RCA
328,SASSICAIA / GUIDALBERTO,2014,750ml,24.5,180,RCA
329,SASSICAIA / GUIDALBERTO,2013,750ml,25.0,36,RCA
330,SASSICAIA / LE DIFESE,2009,750ml,15.5,84,RCA
331,SOLAIA (Antinori),2012,750ml,131.0,66,RCA
332,SOLAIA (Antinori),2011,750ml,131.0,120,RCA
333,BONNEAU DU MARTRAY CORTON CHARL.,2009,750ml,120.0,24,RCA
334,CHAPOUTIER HERMITAGE BLANC,1999,750ml,269.0,6,RCA
335,GUIGAL LA LANDONNE,2012,750ml,228.0,60,RCA
336,GUIGAL LA MOULINE,2012,750ml,228.0,120,RCA
337,GUIGAL LA TURQUE,2012,750ml,228.0,120,RCA
338,"GUIGAL TRILOGIE ""LA LANDONNE/LA MOULINE/LA TURQUE""",2012,750ml,265.0,48,RCA
339,"GUIGAL, ""Brune & Blonde""",2010,750ml,27.0,480,RCA
340,JABOULET/ HERMITAGE LA CHAPELLE,1999,750ml,80.0,18,RCA
341,CAMPO ELISEO (Domaines F. LURTON),2004,750ml,25.0,90,RCA
342,Cortado Wellington Vos 20,NV,750ml,20.0,2,RCA
343,OPUS ONE,2013,750ml,244.0,60,RCA
344,OPUS ONE,2012,750ml,248.0,129,RCA
345,AIGUILHE (D'),2015,750ml,15.0,216,RCA
346,ANGELUS,2015,750ml,252.0,240,RCA
347,ANGELUS,2014,750ml,204.0,60,RCA
348,ANGELUS,2013,750ml,195.0,120,RCA
349,ANGELUS,2012,750ml,335.0,18,RCA
350,ANGELUS,2011,750ml,230.0,36,RCA
351,ANGELUS,2010,750ml,312.0,42,RCA
352,ANGELUS,2009,750ml,330.0,180,RCA
353,ANGELUS,2008,750ml,275.0,12,RCA
354,ANGELUS,2006,750ml,285.0,12,RCA
355,ANGELUS,2005,750ml,450.0,12,RCA
356,ANGELUS,1998,750ml,320.0,12,RCA
357,ANGELUS,1997,750ml,280.0,6,RCA
358,ANGELUS / CARILLON D'ANGELUS,2015,750ml,60.0,180,RCA
359,ANGELUS / CARILLON D'ANGELUS,2014,750ml,51.0,180,RCA
360,ANGELUS / CARILLON D'ANGELUS,2013,750ml,56.0,12,RCA
361,ANGELUS / CARILLON D'ANGELUS,2012,750ml,58.0,168,RCA
362,ANGELUS / LA FLEUR DE BOUARD,2015,750ml,18.5,288,RCA
363,ANGELUS / LA FLEUR DE BOUARD,2014,750ml,16.0,60,RCA
364,ANGELUS / LA FLEUR DE BOUARD,2012,750ml,16.75,36,RCA
365,ANGELUS / LE PLUS DE LA FLEUR DE BOUARD,2014,750ml,54.0,240,RCA
366,ANGLUDET (D'),1990,750ml,39.0,12,RCA
367,ARMAILHAC (Mouton),2015,750ml,30.0,48,RCA
368,ARMAILHAC (Mouton),2014,750ml,29.0,108,RCA
369,ARMAILHAC (Mouton),2013,750ml,29.0,198,RCA
370,ARMAILHAC (Mouton),2011,750ml,34.0,600,RCA
371,ARMAILHAC (Mouton),2010,750ml,45.0,60,RCA
372,ARMAILHAC (Mouton),2009,750ml,46.0,996,RCA
373,ARMAILHAC (Mouton),2008,750ml,38.0,96,RCA
374,ARMAILHAC (Mouton),2005,750ml,57.0,36,RCA
375,ARMAILHAC (Mouton),2003,750ml,51.0,60,RCA
376,ARROSEE (L'),2012,750ml,35.5,600,RCA
