,Item Code,Item Name,Stock ,Unit,Trade,Format,RATING,SCORES
1023,RF2BER0112012,Olivier Bernstein Mazis Chambertin Grand Cru 2012,29,BOTTLE,"$3,500 ",750ML,Burg,92-95
1024,RF2BER0112013,Olivier Bernstein Mazis Chambertin Grand Cru 2013,60,BOTTLE,"$2,900 ",750ML,Burg,92-95
1025,RF2BER0122010,Olivier Bernstein Mazis Chambertin Grand Cru 2010,3,BOTTLE,"$5,880 ",1.5L,Burg,96
1026,RF2BER0142011-OWC1,Olivier Bernstein Mazis Chambertin Grand Cru 2011 (owc1),1,BOTTLE,"$9,300 ",3L,Burg,92-95
1027,RF2BER0212010,Olivier Bernstein Bonnes Mares Grand Cru 2010,17,BOTTLE,"$2,390 ",750ML,Burg,95
1028,RF2BER0212012,Olivier Bernstein Bonnes Mares Grand Cru 2012,36,BOTTLE,"$2,800 ",750ML,Burg,92-95
1029,RF2BER0212013,Olivier Bernstein Bonnes Mares Grand Cru 2013,60,BOTTLE,"$2,300 ",750ML,Burg,92-94
1030,RF2BER0312008,Olivier Bernstein Clos de la Roche Grand Cru 2008,16,BOTTLE,"$1,990 ",750ML,Burg,93-95
1031,RF2BER0312009,Olivier Bernstein Clos de la Roche Grand Cru 2009,7,BOTTLE,"$2,390 ",750ML,Burg,92-94
1032,RF2BER0312010,Olivier Bernstein Clos de la Roche Grand Cru 2010,16,BOTTLE,"$2,390 ",750ML,Burg,94
1033,RF2BER0312011,Olivier Bernstein Clos de la Roche Grand Cru 2011,12,BOTTLE,"$1,880 ",750ML,Burg,94
1034,RF2BER0312011-OWC6,Olivier Bernstein Clos de la Roche Grand Cru 2011 (owc6),24,BOTTLE,"$1,880 ",750ML,Burg,94
1035,RF2BER0312012,Olivier Bernstein Clos de la Roche Grand Cru 2012,30,BOTTLE,"$2,800 ",750ML,Burg,92-94
1036,RF2BER0312012-OWC6,Olivier Bernstein Clos de la Roche Grand Cru 2012 (owc6),24,BOTTLE,"$2,800 ",750ML,Burg,92-94
1037,RF2BER0312013,Olivier Bernstein Clos de la Roche Grand Cru 2013,24,BOTTLE,"$2,300 ",750ML,Burg,92-94
1038,RF2BER0322010,Olivier Bernstein Clos de la Roche Grand Cru 2010,6,BOTTLE,"$4,980 ",1.5L,Burg,94
1039,RF2BER0412009,Olivier Bernstein Charmes Chambertin Grand Cru VV  2009,12,BOTTLE,"$1,980 ",750ML,Burg,90-93
1040,RF2BER0412010,Olivier Bernstein Charmes Chambertin Grand Cru VV  2010,29,BOTTLE,"$1,980 ",750ML,Burg,93
1041,RF2BER0412011,Olivier Bernstein Charmes Chambertin Grand Cru VV  2011,21,BOTTLE,"$1,590 ",750ML,Burg,93
1042,RF2BER0412011-OWC6,Olivier Bernstein Charmes Chambertin Grand Cru VV 11 (owc6),12,BOTTLE,"$1,590 ",750ML,Burg,93
1043,RF2BER0412012,Olivier Bernstein Charmes Chambertin Grand Cru VV  2012,18,BOTTLE,"$2,350 ",750ML,Burg,90-93
1044,RF2BER0412012-OWC6,Olivier Bernstein Charmes Chambertin Grand Cru VV2012 (owc6),12,BOTTLE,"$2,350 ",750ML,Burg,90-93
1045,RF2BER0412013,Olivier Bernstein Charmes Chambertin Grand Cru VV  2013,48,BOTTLE,"$1,900 ",750ML,Burg,91-93
1046,RF2BER0422010,Olivier Bernstein Charmes Chambertin Grand Cru VV  2010,4,BOTTLE,"$3,980 ",1.5L,Burg,93
1047,RF2BER0612009,Olivier Bernstein Chambolle Musigny 1erCru Les Lavrottes2009,34,BOTTLE,"$1,190 ",750ML,Burg,87-90
1048,RF2BER0612010,Olivier Bernstein Chambolle Musigny 1erCru Les Lavrottes2010,28,BOTTLE,"$1,190 ",750ML,Burg,89-92
1049,RF2BER0612011,Olivier Bernstein Chambolle Musigny 1erCru Les Lavrottes2011,2,BOTTLE,$880 ,750ML,Burg,89-92
1050,RF2BER0612011-OWC6,Olivier Bernstein Chambolle Musigny 1C Les Lavrottes11(owc6),18,BOTTLE,$880 ,750ML,Burg,89-92
