,Item Code,Item Name,Stock ,Unit,Trade,Format,RATING,SCORES
0,CF3ALA0121990-A,Champagne Alain Robert Les Mesnil Reserve Tete de 1990 (US),3,BOTTLE,"$8,800 ",1.5L,,
1,CF3BOL0111982-IC,Bollinger R.D. Extra Brut 1982 (Gift Box),2,BOTTLE,"$2,950 ",750ML,,
2,CF3DEL0212002,Delamotte Blanc de Blancs 2002,3,BOTTLE,$690 ,750ML,WA,94
3,CF3DOM0222002,Dom Perignon 2002,1,BOTTLE,"$2,800 ",1.5L,WA,96
4,CF3DOM1411971-IC,Dom Perignon P3 1971 (Gift box),3,BOTTLE,"$13,900 ",750ML,,
5,CF3EGL081NV,Egly Ouriet Tradition Brut NV,11,BOTTLE,$590 ,750ML,WA,89
6,CF3KRU0111973-A,Krug 1973 (US Label),1,BOTTLE,"$9,800 ",750ML,WS,92
7,CF3KRU0112003-IC,Krug 2003 (Gift Box),1,BOTTLE,"$1,950 ",750ML,,
8,CF3KRU011NV-IC,Krug Grande Cuvee (gift box),48,BOTTLE,"$1,390 ",750ML,WA,90
9,CF3KRU0121953,Krug 1953,1,BOTTLE,"$68,000 ",1.5L,,
10,CF3KRU0121969,Krug 1969,1,BOTTLE,"$48,000 ",1.5L,WS,89
11,CF3KRU0211990,Krug Clos du Mesnil 1990 ,2,BOTTLE,"$10,500 ",750ML,,
12,CF3KRU0211990-OWC1,Krug Clos du Mesnil 1990 (owc1),2,BOTTLE,"$10,500 ",750ML,,
13,CF3KRU031NV,Krug Rose NV,25,BOTTLE,"$2,250 ",750ML,WS,96
14,CF3KRU031NV-IC,Krug Rose NV (Gift box),1,BOTTLE,"$2,250 ",750ML,WA,93
15,CF3KRU0611979-IC,Krug Collection 1979 (Gift Box),1,BOTTLE,"$13,500 ",750ML,,
16,CF3LEN0521964,Lenoble Blanc de Blancs Grand Cru 1964,6,BOTTLE,"$6,300 ",1.5L,,
17,CF3LEN0521973,Lenoble Blanc de Blancs Grand Cru 1973,6,BOTTLE,"$5,500 ",1.5L,,
18,CF3LEN0521995,Lenoble Blanc de Blancs Grand Cru 1995,2,BOTTLE,"$3,900 ",1.5L,,
19,CF3LEN0521996,Lenoble Blanc de Blancs Grand Cru 1996,3,BOTTLE,"$3,900 ",1.5L,,
20,CF3PHI0211982-OWC1,Philipponnat Champagne Brut Clos des Goisses 1982 (owc1),3,BOTTLE,"$3,950 ",750ML,WS,98
21,CF3PHI0211983-OWC1,Philipponnat Champagne Brut Clos des Goisses 1983 (owc1),3,BOTTLE,"$3,500 ",750ML,,
22,CF3PHI0212000-A,Philipponnat Champagne Brut Clos des Goisses 2000 (US Label),8,BOTTLE,"$1,000 ",750ML,WS,90
23,CF3POL0111952-CD,Pol Roger Brut 1952 (Capsule Damage),1,BOTTLE,"$3,500 ",750ML,,
24,CF3ROE0111978-A,Louis Roederer Cristal 1978 (US Label),12,BOTTLE,"$5,900 ",750ML,,
25,CF3ROE0111999-IC,Louis Roederer Cristal 1999 (Gift box),6,BOTTLE,"$2,300 ",750ML,WA,98
26,CF3ROE0121989,Louis Roederer Cristal 1989,1,BOTTLE,"$9,900 ",1.5L,,
27,CF3ROE0161990-OWC1,Louis Roederer Cristal 1990 (owc1),1,BOTTLE,"$66,000 ",6L,WA,97
28,CF3SAL0111985-A,Salon 1985 (US Label),1,BOTTLE,"$6,880 ",750ML,WS,95
29,CU1CHA2412006,Chapel Down The Union 2006,83,BOTTLE,$247 ,750ML,,
30,CU1CHA2712004,Chapel Down Pinot Reserve 2004,67,BOTTLE,$247 ,750ML,,
31,RA1HEN0421987,Henschke Hill of Grace 1987,2,BOTTLE,"$6,800 ",1.5L,,
32,RA1KAL0312009,Kalleske Greenock Shiraz 2009,47,BOTTLE,$317 ,750ML,WA,91
33,RA1MOU0612002,Mount Mary Quintet 2002 ,4,BOTTLE,"$1,050 ",750ML,,
34,RA1MOU0612003,Mount Mary Quintet 2003,6,BOTTLE,$990 ,750ML,,
35,RA1MOU0712005,Mount Mary Pinot Noir 2005 ,2,BOTTLE,$830 ,750ML,,
36,RA1PEN0111976-LL,Penfolds Grange 1976 (Low Level),1,BOTTLE,"$8,500 ",750ML,WA,100
37,RA1PEN0111980,Penfolds Grange 1980,7,BOTTLE,"$3,800 ",750ML,WA,94+
38,RA1PEN0111991,Penfolds Grange 1991,6,BOTTLE,"$3,300 ",750ML,WA,93
39,RA1PEN0111992,Penfolds Grange 1992,6,BOTTLE,"$3,300 ",750ML,WA,92
40,RA1PEN0111993,Penfolds Grange 1993,13,BOTTLE,"$3,300 ",750ML,WA,91
41,RA1PEN0111993-OWC6,Penfolds Grange 1993 (owc6),6,BOTTLE,"$3,300 ",750ML,WA,91
42,RA1PEN0111994,Penfolds Grange 1994,6,BOTTLE,"$3,350 ",750ML,WA,91
43,RA1PEN0111995,Penfolds Grange 1995,2,BOTTLE,"$2,950 ",750ML,WA,92
44,RA1PEN0111996,Penfolds Grange 1996,4,BOTTLE,"$3,300 ",750ML,WA,93
45,RA1PEN0111998,Penfolds Grange 1998,3,BOTTLE,"$3,900 ",750ML,WA,98+
46,RA1PEN0811980-CC-A,"Penfolds Bin 95 Grange Shiraz 1980 (Cut Capsule, US label)",1,BOTTLE,"$3,650 ",750ML,,
47,RA1SHI0112005,Shirvington Shiraz 2005,8,BOTTLE,$591 ,750ML,WA,93
48,RA1TOR0522002-OWC1,Torbreck Grenache Les Amis 2002 (owc1),2,BOTTLE,"$5,500 ",1.5L,WA,98
49,RA1VER2712002,Veritas Hanisch 2002,1,BOTTLE,"$1,090 ",750ML,WA,98
50,RA1YAB0212010,Yabby Lake Single Vineyard Pinot Noir 2010,77,BOTTLE,$304 ,750ML,WA,90+
51,RA1YAB0312010,Yabby Lake Pinot Noir Block 6 Single Block Release 2010,23,BOTTLE,$388 ,750ML,,
52,RA3CHA3312006,Bodega Chacra Pinot Noir Cincuenta y Cinco 2006,58,BOTTLE,$550 ,750ML,WS,91
53,RA3CHA3412006,Bodega Chacra Pinot Noir Treinta y Dos 2006,57,BOTTLE,$690 ,750ML,WS,92
54,RC1ABR0112000,Abreu Cabernet Sauvignon Madrona Ranch 2000,3,BOTTLE,"$1,690 ",750ML,WA,92
55,RC1ABR0112007,Abreu Cabernet Sauvignon Madrona Ranch 2007,3,BOTTLE,"$3,800 ",750ML,WA,98
56,RC1ABR0212004,Abreu Cabernet Sauvignon Thorevilos 2004,1,BOTTLE,"$3,200 ",750ML,WA,95+
57,RC1ABR0212006,Abreu Cabernet Sauvignon Thorevilos 2006,5,BOTTLE,"$3,950 ",750ML,WA,98
58,RC1ABR0312007,Abreu Rothwell Hyde 2007,3,BOTTLE,"$1,290 ",750ML,AWL,93
59,RC1ABR0412007,Abreu Cabernet Sauvignon Cappella 2007,5,BOTTLE,"$3,200 ",750ML,WA,96
60,RC1ABR0512006,Abreu Cabernet Sauvignon Howell Mountain 2006,3,BOTTLE,"$3,200 ",750ML,WA,95+
61,RC1ARA0111991,Araujo Cabernet Sauvignon Eisele Vineyard 1991 ,1,BOTTLE,"$2,500 ",750ML,,
62,RC1ARA0111996,Araujo Cabernet Sauvignon Eisele Vineyard 1996,1,BOTTLE,"$1,800 ",750ML,WA,94
63,RC1ARA0111998,Araujo Cabernet Sauvignon Eisele Vineyard 1998,2,BOTTLE,"$1,350 ",750ML,WA,92
64,RC1ARA0121995,Araujo Cabernet Sauvignon Eisele Vineyard 1995,1,BOTTLE,"$5,900 ",1.5L,WA,98
65,RC1ARA0121998,Araujo Cabernet Sauvignon Eisele Vineyard 1998,1,BOTTLE,"$3,900 ",1.5L,WA,92
66,RC1ARA0141993-OWC1,Araujo Cabernet Sauvignon Eisele Vineyard 1993 (owc1),1,BOTTLE,"$9,900 ",3L,WA,96
67,RC1ARA0141995,Araujo Cabernet Sauvignon Eisele Vineyard 1995,1,BOTTLE,"$12,900 ",3L,WA,98
68,RC1ARA0142000-OWC1,Araujo Cabernet Sauvignon Eisele Vineyard 2000 (owc1),1,BOTTLE,"$6,500 ",3L,WA,91
69,RC1AUB0712005,Aubert Lucia Abreu Vineyard Howell Mountain Napa Valley 2005,22,BOTTLE,"$1,200 ",750ML,AWL,93
70,RC1AUB0722013,Aubert Pinot Noir UV-SL Sonoma Coast 2013,2,BOTTLE,"$2,900 ",1.5L,,
71,RC1AUB0912012,Aubert Pinot Noir CIX Vineyard 2012,1,BOTTLE,"$1,290 ",750ML,,
72,RC1AUB1012012,Aubert Pinot Noir Sonoma Coast 2012,21,BOTTLE,$950 ,750ML,,
73,RC1AUB1012013,Aubert Pinot Noir Sonoma Coast 2013,3,BOTTLE,$950 ,750ML,,
74,RC1BEA0311959,Beaulieu CS Georges de Latour Private Reserve 1959,1,BOTTLE,"$9,800 ",750ML,WS,86
75,RC1BEA0311970-EX,Beaulieu CS Georges de Latour Private Reserve1970(ex-winery),10,BOTTLE,"$2,980 ",750ML,WA,93
76,RC1BLA0412005,Blankiet Estate Cabernet Sauvignon Paradise Hills 2005,80,BOTTLE,"$1,490 ",750ML,WA,95+
77,RC1BLA0512005,Blankiet Estate Rive Droite Red Blend 2005,38,BOTTLE,$990 ,750ML,WA,93
78,RC1BON0512001,Bond Vecina 2001,2,BOTTLE,"$2,500 ",750ML,WA,96+
79,RC1BON0512004,Bond Vecina 2004,14,BOTTLE,"$2,400 ",750ML,WA,96
80,RC1BRY0311992,Bryant Family Cabernet Sauvignon Pritchard 1992,3,BOTTLE,"$2,500 ",750ML,,
81,RC1BRY0311993,Bryant Family Cabernet Sauvignon Pritchard 1993,5,BOTTLE,"$2,980 ",750ML,,
82,RC1BRY0311995,Bryant Family Cabernet Sauvignon 1995,3,BOTTLE,"$4,800 ",750ML,,
83,RC1CLO0112000,Clos de la Tech Domaine du Docteur Rodgers 2000,1,BOTTLE,"$1,290 ",750ML,,
84,RC1CLO0312006,Clos de la Tech Domaine Valeta 2006,1,BOTTLE,$790 ,750ML,,
85,RC1CLO0412006,Clos de la Tech Domaine Lois Louise Twisty Ridge 2006,2,BOTTLE,"$1,290 ",750ML,,
86,RC1CLO0512006,Clos de la Tech Domaine Lois Louise Cote Sud 2006,2,BOTTLE,$990 ,750ML,,
87,RC1CLO0612006,Clos de la Tech Domaine Lois Louise 2006,3,BOTTLE,$550 ,750ML,,
88,RC1COL0312002,Colgin Cariad 2002,3,BOTTLE,"$2,980 ",750ML,WA,99+
89,RC1COL0312002-OWC6,Colgin Cariad 2002 (owc6),6,BOTTLE,"$2,980 ",750ML,WA,99+
90,RC1COL0612006,Colgin IX Estate 2006,4,BOTTLE,"$3,980 ",750ML,WA,100
91,RC1COL0612006-OWC6,Colgin IX Estate 2006 (owc6),6,BOTTLE,"$3,980 ",750ML,WA,100
92,RC1DAN0212007,Dana Cabernet Sauvignon Lotus Vineyard 2007,2,BOTTLE,"$8,900 ",750ML,WA,100
93,RC1DOM0111995-OWC6.,Dominus 1995 (owc6),24,BOTTLE,"$1,590 ",750ML,WA,93
94,RC1FIS0612007,Fisher Vineyards Hidden Terrace Vineyard Syrah (Sonoma) 2007,12,BOTTLE,$490 ,750ML,AWL,91
95,RC1GRO0911985,Groth Cabernet Sauvignon Reserve 1985,4,BOTTLE,"$2,950 ",750ML,WA,98
96,RC1HAR0111991,Harlan Estate 1991,1,BOTTLE,"$6,900 ",750ML,WA,98
97,RC1HAR0111993,Harlan Estate 1993,1,BOTTLE,"$6,300 ",750ML,WA,95
98,RC1HAR0111994,Harlan Estate 1994,9,BOTTLE,"$8,900 ",750ML,WA,100
99,RC1HAR0111994-LD,Harlan Estate 1994 (Label Damaged),1,BOTTLE,"$8,800 ",750ML,WA,100
100,RC1HAR0112001,Harlan Estate 2001,1,BOTTLE,"$8,500 ",750ML,WA,100
101,RC1HAR0112002,Harlan Estate 2002,4,BOTTLE,"$7,800 ",750ML,WA,100
102,RC1HAR0121994,Harlan Estate 1994,2,BOTTLE,"$19,000 ",1.5L,WA,100
103,RC1HAR0121996,Harlan Estate 1996,2,BOTTLE,"$10,900 ",1.5L,WA,97
104,RC1HAR0122001,Harlan Estate 2001,3,BOTTLE,"$16,900 ",1.5L,WA,100
105,RC1HAR0122002,Harlan Estate 2002,2,BOTTLE,"$16,900 ",1.5L,WA,100
106,RC1HAR0122007,Harlan Estate 2007,1,BOTTLE,"$14,900 ",1.5L,WA,100
107,RC1HAR0122011,Harlan Estate 2011,4,BOTTLE,"$13,900 ",1.5L,WA,93
108,RC1HEI0111970,Heitz Cabernet Sauvignon Martha's Vineyard 1970,1,BOTTLE,"$5,900 ",750ML,WS,89
109,RC1HEI0111974,Heitz Cabernet Sauvignon Martha's Vineyard 1974,9,BOTTLE,"$12,500 ",750ML,WA,98
110,RC1KIS0812012,Kistler Pinot Noir Kistler Vineyard 2012,17,BOTTLE,"$1,090 ",750ML,,
111,RC1KIS0812013,Kistler Pinot Noir Kistler Vineyard 2013,25,BOTTLE,"$1,090 ",750ML,,
112,RC1KIS0822011,Kistler Pinot Noir Kistler Vineyard 2011,1,BOTTLE,"$2,290 ",1.5L,,
113,RC1KIS0822012,Kistler Pinot Noir Kistler Vineyard 2012,3,BOTTLE,"$2,390 ",1.5L,,
114,RC1KIS0822013,Kistler Pinot Noir Kistler Vineyard 2013,2,BOTTLE,"$2,390 ",1.5L,,
115,RC1KIS0912012,Kistler Pinot Noir Cuvee Elizabeth Occidental Vineyard 2012,20,BOTTLE,"$1,390 ",750ML,,
116,RC1KIS0912013,Kistler Pinot Noir Cuvee Elizabeth Occidental Vineyard 2013,12,BOTTLE,"$1,390 ",750ML,,
117,RC1KIS1912012,Kistler Pinot Noir Cuvee Catherine Occidental Station 2012,10,BOTTLE,"$1,390 ",750ML,,
118,RC1KIS1912013,Kistler Pinot Noir Cuvee Catherine Occidental Station 2013,5,BOTTLE,"$1,390 ",750ML,,
119,RC1KIS2012011,Kistler Pinot Noir Cuvee Natalie Silver Belt 2011,5,BOTTLE,"$1,090 ",750ML,WA,92-94
120,RC1KIS2012012,Kistler Pinot Noir Cuvee Natalie Silver Belt 2012,9,BOTTLE,"$1,190 ",750ML,,
121,RC1KIS2012013,Kistler Pinot Noir Cuvee Natalie Silver Belt 2013,11,BOTTLE,"$1,190 ",750ML,,
122,RC1KIS2212012,Kistler Pinot Noir Cuvee SWK Occidental Vineyard 2012,6,BOTTLE,"$1,390 ",750ML,,
123,RC1KIS2212013,Kistler Pinot Noir Cuvee SWK Occidental Vineyard 2013,12,BOTTLE,"$1,390 ",750ML,,
124,RC1KRU0411959,Charles Krug Cabernet Sauvignon Vintage Selection 1959,2,BOTTLE,"$2,600 ",750ML,,
125,RC1KRU0411969,Charles Krug Cabernet Sauvignon Vintage Selection 1969,3,BOTTLE,"$2,100 ",750ML,,
126,RC1MAR2312008,Martinelli Zinfandel Jackass Vineyard 2008,12,BOTTLE,$969 ,750ML,WA,94
127,RC1MAR3412011,Martinelli Pinot Noir Bella Vigna 2011,100+,BOTTLE,$267 ,750ML,,
128,RC1MAR3512008,Martinelli Pinot Noir Moonshine Ranch 2008,4,BOTTLE,$438 ,750ML,WA,90
129,RC1MUR0111998,Andrew Murray Syrah Roasted Slope 1998,10,BOTTLE,$550 ,750ML,AWL,92
130,RC1MUR0211998,Andrew Murray Syrah Les Coteaux 1998,11,BOTTLE,$550 ,750ML,WS,87
131,RC1OPU0112010-OWC6,Opus One 2010 (owc6),6,BOTTLE,"$2,300 ",750ML,WA,96
132,RC1OPU0161992,Opus One 1992,1,BOTTLE,"$23,900 ",6L,WA,92
133,RC1QUP0111996,Qupe Syrah Bien Nacido Hillside Estate 1996,2,BOTTLE,$590 ,750ML,WA,86
134,RC1RAM1512003,Ramey Jericho Canyon Cabernet Sauvignon 2003,1,BOTTLE,$790 ,750ML,WA,93
135,RC1RAM1812005,Ramey Roger's Creek Syrah 2005,7,BOTTLE,$498 ,750ML,,
136,RC1ROB0511970,Robert Mondavi Winery Unfiltered Cabernet Sauvignon 1970,3,BOTTLE,"$2,800 ",750ML,WA,94
137,RC1ROB0611968,Robert Mondavi Winery Unfined Cabernet Sauvignon 1968,1,BOTTLE,"$2,900 ",750ML,,
138,RC1ROB0611968-LD,Robert Mondavi Winery Unfined Cabernet Sauvignon 1968 (LD),1,BOTTLE,"$2,900 ",750ML,,
139,RC1ROB0611970,Robert Mondavi Winery Unfined Cabernet Sauvignon 1970,3,BOTTLE,"$2,800 ",750ML,WA,94
140,RC1STA0211974,Stag's Leap Cask 23 Cabernet Sauvignon 1974,3,BOTTLE,"$2,300 ",750ML,WS,94
141,RC1STA0212012,Stag's Leap Cask 23 Cabernet Sauvignon 2012,35,BOTTLE,"$1,590 ",750ML,,
142,RC1STA0212012-LD,Stag's Leap Cask 23 Cabernet Sauvignon 2012 (Label Damage),1,BOTTLE,"$1,550 ",750ML,,
143,RC2SEN0112011,Sena 2011,3,BOTTLE,$698 ,750ML,JS,95
144,RC2SEN0112011-OWC6,Sena 2011 (owc6),90,BOTTLE,$698 ,750ML,JS,95
145,RC3BER1412009,Bergstrom Pinot Noir de Lancellotti 2009,100+,BOTTLE,$402 ,750ML,WA,92
146,RF1ALT0512012,Alter Ego de Palmer - Margaux 2012,1,BOTTLE,$465 ,750ML,WA,93
147,RF1ARM0112013,D'Armailhac - Pauillac 2013,100+,BOTTLE,$295 ,750ML,,
148,RF1AUS0111983,Ausone - St. Emilion 1983,2,BOTTLE,"$3,800 ",750ML,WA,94
149,RF1AUS0111990,Ausone - St. Emilion 1990,4,BOTTLE,"$3,950 ",750ML,WA,91
150,RF1AUS0111998,Ausone - St. Emilion 1998,2,BOTTLE,"$4,350 ",750ML,WA,94
151,RF1AUS0111998-OWC12,Ausone - St. Emilion 1998 (owc12),36,BOTTLE,"$4,350 ",750ML,WA,94
152,RF1AUS0112003,Ausone - St. Emilion 2003,5,BOTTLE,"$7,500 ",750ML,WA,100
153,RF1AUS0112010-OWC3,Ausone - St. Emilion 2010 (owc3),3,BOTTLE,"$13,900 ",750ML,WA,98+
154,RF1AUS0112010-OWC6,Ausone - St. Emilion 2010 (owc6),6,BOTTLE,"$13,900 ",750ML,WA,98+
155,RF1AUS0112011,Ausone - St. Emilion 2011,22,BOTTLE,"$3,980 ",750ML,WA,95+
156,RF1AUS0112011-OWC6,Ausone - St. Emilion 2011 (owc6),24,BOTTLE,"$3,980 ",750ML,WA,95+
157,RF1AUS0112012,Ausone - St. Emilion 2012 ,5,BOTTLE,"$4,200 ",750ML,WA,96+
158,RF1AUS0121982-OWC6,Ausone - St. Emilion 1982 (owc6),6,BOTTLE,"$9,900 ",1.5L,WS,93
159,RF1AUS0122012,Ausone - St. Emilion 2012 ,1,BOTTLE,"$8,500 ",1.5L,WA,96+
160,RF1AUS0142012-OWC1,Ausone - St. Emilion 2012 (owc1),1,BOTTLE,"$18,000 ",3L,WA,96+
161,RF1BEA0112009,Beausejour Duffau - St. Emilion 2009,6,BOTTLE,"$2,880 ",750ML,WA,100
162,RF1BEA0112009-OWC12,Beausejour Duffau - St. Emilion 2009 (owc12),12,BOTTLE,"$2,880 ",750ML,WA,100
163,RF1BEA0121990-EX,Beausejour Duffau - St. Emilion 1990 (ex-chateau),1,BOTTLE,"$19,900 ",1.5L,WA,100
164,RF1BEA0122012,Beausejour Duffau - St. Emilion 2012,2,BOTTLE,"$1,290 ",1.5L,,
165,RF1BEA0122012-OWC1,Beausejour Duffau - St. Emilion 2012 (owc1),4,BOTTLE,"$1,290 ",1.5L,,
166,RF1BEA0132012,Beausejour Duffau - St. Emilion 2012,4,BOTTLE,$320 ,375ML,,
167,RF1BEA0142012-OWC1,Beausejour Duffau - St. Emilion 2012 (owc1),3,BOTTLE,"$2,590 ",3L,,
168,RF1BEA0162012-OWC1,Beausejour Duffau - St. Emilion 2012 (owc1),2,BOTTLE,"$5,500 ",6L,,
169,RF1BEA0192012-OWC1,Beausejour Duffau - St. Emilion 2012 (owc1),2,BOTTLE,"$9,900 ",9L,,
170,RF1BEA0212001,Beau Sejour Becot - St. Emilion 2001,11,BOTTLE,$490 ,750ML,,
171,RF1BEA0212003,Beau Sejour Becot - St. Emilion 2003,16,BOTTLE,$450 ,750ML,,
172,RF1BEA0212007,Beau Sejour Becot - St. Emilion 2007,39,BOTTLE,$360 ,750ML,,
173,RF1BEA1011990,Beauregard - Pomerol 1990,6,BOTTLE,$590 ,750ML,,
174,RF1BEA1012004,Beauregard - Pomerol 2004 ,20,BOTTLE,$230 ,750ML,,
175,RF1BEA1312012,Beaumont - Haut Medoc 2012,100+,BOTTLE,$109 ,750ML,,
176,RF1BEA1332012,Beaumont - Haut Medoc 2012,55,BOTTLE,$65 ,375ML,,
177,RF1BEL0312006,Bellevue Mondotte - St. Emilion 2006,12,BOTTLE,"$1,980 ",750ML,WA,95+
178,RF1BEL0611989,Belair - St. Emilion 1989,5,BOTTLE,$480 ,750ML,,
179,RF1BER1212007,Bernadotte - Haut Medoc 2007,26,BOTTLE,$110 ,750ML,,
180,RF1BER1212008,Bernadotte - Haut Medoc 2008,100+,BOTTLE,$120 ,750ML,,
181,RF1BEY0211928-RC-CD,"Beychevelle - St.Julien 1928 (Recorked in 1999, No foil)",1,BOTTLE,"$7,800 ",750ML,WA,86
182,RF1BEY0212013,Beychevelle - St.Julien 2013,10,BOTTLE,$520 ,750ML,,
183,RF1BEY0312011,Amiral de Beychevelle - St.Julien 2011,17,BOTTLE,$260 ,750ML,,
184,RF1BOU0211959-RCON,Bouscaut - Pessac Leognan 1959 (Reconditioned in Jun06),4,BOTTLE,"$1,950 ",750ML,,
185,RF1BRA0211914,Branaire Ducru - St. Julien 1914,1,BOTTLE,"$8,800 ",750ML,,
186,RF1BRA0211928-EX,Branaire Ducru - St. Julien 1928 (ex-MB 2007 recorked),3,BOTTLE,"$8,800 ",750ML,,
187,RF1BRA0211945,Branaire Ducru - St. Julien 1945,2,BOTTLE,"$3,950 ",750ML,,
188,RF1BRA0211945-CD,Branaire Ducru - St. Julien 1945 (Capsule Damage),1,BOTTLE,"$3,950 ",750ML,,
189,RF1BRA0222002-EX,Branaire Ducru - St. Julien 2002 (ex-chateau),16,BOTTLE,$990 ,1.5L,WA,90
190,RF1BRA0222002-EX-OWC6,Branaire Ducru - St. Julien 2002 (ex-chateau. owc6),6,BOTTLE,$990 ,1.5L,WA,90
191,RF1BRA0222010,Branaire Ducru - St. Julien 2010,5,BOTTLE,"$1,090 ",1.5L,WA,94
192,RF1BRA0222010-OWC6,Branaire Ducru - St. Julien 2010 (owc6),30,BOTTLE,"$1,090 ",1.5L,WA,94
193,RF1BRA0311920-LD,Brane Cantenac - Margaux 1920 (Label Damage),5,BOTTLE,"$4,800 ",750ML,,
194,RF1BRA0311926-A,Brane Cantenac - Margaux 1926 (US Label),1,BOTTLE,"$4,500 ",750ML,,
195,RF1BRA0311928-RCON,Brane Cantenac - Margaux 1928 (Reconditioned),2,BOTTLE,"$8,500 ",750ML,WA,86
196,RF1BRA0311929-RCON,Brane Cantenac - Margaux 1929 (Reconditioned),2,BOTTLE,"$8,800 ",750ML,,A
197,RF1BRA0311990,Brane Cantenac - Margaux 1990,2,BOTTLE,$690 ,750ML,,
198,RF1BRA0312002,Brane Cantenac - Margaux 2002,1,BOTTLE,$450 ,750ML,WS,90
199,RF1CAL0111926-EX-RC,"Calon Segur - St. Estephe 1926 (ex-Chateau,Reconditioned)",5,BOTTLE,"$8,600 ",750ML,WA,94
200,RF1CAL0111928,Calon Segur - St. Estephe 1928,2,BOTTLE,"$9,900 ",750ML,WA,96
201,RF1CAL0111996-EX,Calon Segur - St. Estephe 1996 (Ex-Chateau),43,BOTTLE,$790 ,750ML,WA,92
202,RF1CAL0112013,Calon Segur - St. Estephe 2013,85,BOTTLE,$520 ,750ML,,
203,RF1CAL0121947,Calon Segur - St. Estephe 1947,1,BOTTLE,"$33,000 ",1.5L,WA,96
204,RF1CAL0121949,Calon Segur - St. Estephe 1949,1,BOTTLE,"$39,800 ",1.5L,WA,94
205,RF1CAL0121996,Calon Segur - St. Estephe 1996,1,BOTTLE,"$1,590 ",1.5L,WA,92
206,RF1CAL0122012,Calon Segur - St. Estephe 2012,1,BOTTLE,"$1,090 ",1.5L,WA,91
207,RF1CAL0131947,Calon Segur - St. Estephe 1947,1,BOTTLE,"$3,380 ",375ML,WA,96
208,RF1CAL0132013,Calon Segur - St. Estephe 2013 ,48,BOTTLE,$265 ,375ML,,
209,RF1CAM0112005,Camensac - Haut Medoc 2005,1,BOTTLE,$280 ,750ML,,
210,RF1CAN0112003,Canon La Gaffeliere - St. Emilion 2003,11,BOTTLE,$550 ,750ML,,
211,RF1CAN0312011,Cantemerle - Haut Medoc 2011,71,BOTTLE,$220 ,750ML,,
212,RF1CAN0432012,Canon - St. Emilion 2012,19,BOTTLE,$260 ,375ML,WA,92+
213,RF1CAR0212005,Caronne Ste Gemme - Haut Medoc 2005,18,BOTTLE,$190 ,750ML,WA,88-90
214,RF1CAR0511959-LD,Carbonnieux - Pessac Leognan 1959 (Label Damaged),2,BOTTLE,"$2,980 ",750ML,,
215,RF1CER0112010,Certan de May - Pomerol 2010,70,BOTTLE,$895 ,750ML,WA,91+
216,RF1CER0122007,Certan de May - Pomerol 2007,16,BOTTLE,$990 ,1.5L,WS,88
217,RF1CER0362009-OWC1,Certan Marzelle - Pomerol 2009 (owc1),1,BOTTLE,"$4,500 ",6L,WA,91-93
218,RF1CHA1212004,Chasse Spleen - Medoc 2004,100+,BOTTLE,$320 ,750ML,WS,89
219,RF1CHE0211924-EX,Cheval Blanc - St. Emilion 1924 (ex-chateau),1,BOTTLE,"$14,900 ",750ML,WS,69
220,RF1CHE0211928-EX95-LD,"Cheval Blanc - St. Emilion 1928 (ex-chateau 1995, LD) ",2,BOTTLE,"$19,800 ",750ML,WS,92
221,RF1CHE0211931-EX09,Cheval Blanc - St. Emilion 1931 (ex-chateau 2009),1,BOTTLE,"$9,900 ",750ML,WS,72
222,RF1CHE0211937-RC,Cheval Blanc - St. Emilion 1937 (Re-Corked),3,BOTTLE,"$12,500 ",750ML,WS,71
223,RF1CHE0211947,Cheval Blanc - St. Emilion 1947,1,BOTTLE,"$99,000 ",750ML,WA,100
224,RF1CHE0211947-CD,Cheval Blanc - St. Emilion 1947 (Capsule Damage),3,BOTTLE,"$95,000 ",750ML,WA,100
225,RF1CHE0211970-OWC12,Cheval Blanc - St. Emilion 1970 (owc12),12,BOTTLE,"$2,900 ",750ML,WS,91
226,RF1CHE0211978,Cheval Blanc - St. Emilion 1978,7,BOTTLE,"$2,800 ",750ML,WA,87
227,RF1CHE0211979-LD,Cheval Blanc - St. Emilion 1979 (Label Damage),1,BOTTLE,"$2,750 ",750ML,WA,86
228,RF1CHE0211982-A,Cheval Blanc - St. Emilion 1982 (US Label),4,BOTTLE,"$6,850 ",750ML,WA,100
229,RF1CHE0211983,Cheval Blanc - St. Emilion 1983,12,BOTTLE,"$4,300 ",750ML,WA,93
230,RF1CHE0211983-OWC12,Cheval Blanc - St. Emilion 1983 (owc12),12,BOTTLE,"$4,300 ",750ML,WA,93
231,RF1CHE0211988-LD,Cheval Blanc - St. Emilion 1988 (Label Damage),8,BOTTLE,"$3,150 ",750ML,,
232,RF1CHE0211990-LD,Cheval Blanc - St. Emilion 1990 (Label Damage),1,BOTTLE,"$7,900 ",750ML,WA,98+
233,RF1CHE0212000-EX-OWC12,"Cheval Blanc - St. Emilion 2000 (ex-chateau, owc12)",60,BOTTLE,"$7,900 ",750ML,WA,99
234,RF1CHE0212000-EX-OWC6,"Cheval Blanc - St. Emilion 2000 (ex-chateau, owc6)",24,BOTTLE,"$7,900 ",750ML,WA,99
235,RF1CHE0221929,Cheval Blanc - St. Emilion 1929,2,BOTTLE,"$159,000 ",1.5L,,
