,OFFER EXCEPT SALE SUBJECT TO FINAL CONFIRMATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
55,2014,CH. RIEUSSEC,SAUTERNES,SWEET,1CC,240,BT,CB6,42,95-97
56,2014,CH. DESMIRAIL,MARGAUX,RED,-,180,BT,CB12,20,84-86
57,2014,CH. PETIT BOCQ,SAINT ESTEPHE,RED,-,300,BT,CB12,11.95,-
58,2014,BLANC DE CHASSE SPLEEN,BORDEAUX BLANC,WHITE,-,300,BT,CB12,12,-
59,2014,CH. CHAUVIN,SAINT EMILION GRAND CRU,RED,CC,300,BT,CB6,20.4,85-87
60,2014,CH. FAURIE DE SOUCHARD,SAINT EMILION GRAND CRU,RED,CC,300,BT,CB12,22,-
61,2014,CH. LARRIVET HAUT BRION BLANC,PESSAC LEOGNAN,WHITE,-,300,BT,CB6,21.6,89-91
62,2014,CH. SIRAURAC,LALANDE DE POMEROL,RED,-,300,BT,CT6,9.6,86-88
63,2014,DAME DE MONTROSE (LA),SAINT ESTEPHE,RED,2nd,120,BT,CB12,23,84-86
64,2014,CH. OLIVIER ROUGE,PESSAC LEOGNAN,RED,CC,240,BT,CB6,16.8,86-88
65,2014,CH. PALMER,MARGAUX,RED,3CC,120,BT,CB6,160,93-95
66,2014,CHEVALIER DE LASCOMBES,MARGAUX,RED,2nd,120,BT,CB12,15.6,82-84?
67,2014,CH. DURFORT VIVENS,MARGAUX,RED,2CC,120,BT,CB12,25.8,87-89
68,2014,CH. LATOUR MARTILLAC BLANC,PESSAC LEOGNAN,WHITE,CC,120,BT,CB12,19.4,90-92+
69,2014,ARUMS DE LAGRANGE (LES),BORDEAUX BLANC,WHITE,-,120,BT,CB6,13.6,-
70,2014,CH. EVANGILE (L'),POMEROL,RED,-,60,BT,CB6,90,92-94
71,2014,CH. MARJOSSE ROUGE,BORDEAUX,RED,-,240,BT,CT6,5.2,84-85
72,2014,CH. MAZEYRES,POMEROL,RED,-,240,BT,CB12,13.95,89-91
73,2014,CH. POINTE (LA),POMEROL,RED,-,240,BT,CB12,20.4,89-91
74,2014,DOME (LE),SAINT EMILION GRAND CRU,RED,-,120,BT,CB12,72,92-94
75,2014,CH. SAINT PIERRE,SAINT JULIEN,RED,4CC,120,BT,CB6,31.2,85-87
76,2014,CH. GRANDES MURAILLES (LES),SAINT EMILION GRAND CRU,RED,CC,120,BT,CB12,26.5,90-92
77,2014,VIEUX CHÂTEAU MAZERAT,SAINT EMILION GRAND CRU,RED,-,120,BT,CB6,50,90-92
78,2014,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU,RED,CC1B,60,BT,CB12,57.6,91-93
79,2014,CLOS DE L'ORATOIRE,SAINT EMILION GRAND CRU,RED,CC,60,BT,CB6,22,88-90
80,2014,CH. FAUGERES,SAINT EMILION GRAND CRU,RED,CC,180,BT,CB12,21,91-93
81,2014,CLOS FLORIDENE ROUGE,GRAVES,RED,-,180,BT,CB12,9.6,89-91
82,2014,PETIT CHEVAL (LE),SAINT EMILION GRAND CRU,RED,2nd,90,BT,CB6,102,90-92
83,2014,CH. AIGUILHE (D'),CASTILLON COTES DE BORDEAUX,RED,-,156,BT,CB12,14.6,90-92
84,2014,CH. PEDESCLAUX,PAUILLAC,RED,5CC,156,BT,CB6,24,91-93
85,2014,CAILLOU BLANC,BORDEAUX BLANC,WHITE,-,144,BT,CB12,16.8,82-84
86,2014,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU,RED,CC1A,24,BT,CB6,360,95-97
87,2014,CH. QUINAULT L'ENCLOS,SAINT EMILION GRAND CRU,RED,CC,144,BT,CB6,18.6,88-90
88,2014,AILE D'ARGENT,BORDEAUX BLANC,WHITE,-,138,BT,CB6,49.2,88-90
89,2014,CH. GAY (LE),POMEROL,RED,-,132,BT,CB6,60,90-92
90,2014,CH. GISCOURS,MARGAUX,RED,3CC,60,BT,CB12,30,89-91
91,2014,CH. MONT PERAT BLANC,BORDEAUX BLANC,WHITE,-,132,BT,CB12,6.7,86-88
92,2014,CH. BELLEVUE MONDOTTE,SAINT EMILION,RED,-,60,BT,CB6,96,89-91
93,2014,CH. CALON SEGUR,SAINT ESTEPHE,RED,3CC,60,BT,CB12,60,91-93
94,2014,CH. CLOTTE (LA),SAINT EMILION GRAND CRU,RED,CC,120,BT,CB12,35,89-91
95,2014,CH. TOUR DE MONS (LA),MARGAUX,RED,-,120,BT,CB12,17.5,87-89
96,2014,CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,60,BT,CB6,34.8,88-90
97,2014,DOMAINE DE CHEVALIER BLANC,PESSAC LEOGNAN,WHITE,CC,36,BT,CB6,60,93-95
98,2014,CH. GUIRAUD,SAUTERNES,RED,CC1,114,BT,CB6,30,93-95
99,2014,CH. MARQUIS DE TERME,MARGAUX,RED,4CC,108,BT,CB6,22.8,89-91
100,2014,CARRE (LE),SAINT EMILION GRAND CRU,RED,-,96,BT,CB6,40,89-91
101,2014,CH. FEYTIT CLINET,POMEROL,RED,-,60,BT,CB12,33,91-93
102,2014,CLOS LA MADELEINE,SAINT EMILION GRAND CRU,RED,CC,60,BT,CB6,17.9,89-91
103,2014,DOMAINE DE CHEVALIER ROUGE,PESSAC LEOGNAN,RED,CC,60,BT,CB6,33.6,92-94
104,2014,CH. BOYD CANTENAC,MARGAUX,RED,3CC,84,BT,CB12,27.5,-
105,2014,CH. DAUZAC,MARGAUX,RED,5CC,84,BT,CB6,22.5,89-91
106,2014,CH. GRAND MAYNE,SAINT EMILION GRAND CRU,RED,CC,84,BT,CB12,21.2,91-93
107,2014,CH. GRAND PUY DUCASSE,PAUILLAC,RED,5CC,84,BT,CB12,22.2,88-90
108,2014,PETIT LION DU MARQUIS DE LAS CASES (LE),SAINT JULIEN,RED,2nd,60,BT,CB6,21.5,86-88
109,2014,CH. PAVIE DECESSE,SAINT EMILION GRAND CRU,RED,CC,72,BT,CB6,78,89-91
110,2014,CH. HAUT BERGEY ROUGE,PESSAC LEOGNAN,RED,-,66,BT,CT12,13.8,89-91
111,2014,CH. BARDE HAUT,SAINT EMILION GRAND CRU,RED,CC,60,BT,CT12,18,91-93
112,2014,CH. CONSEILLANTE (LA),POMEROL,RED,-,60,BT,CB6,66,92-94
113,2014,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN,WHITE,CC,60,BT,CB12,37,91-93
114,2014,CH. PAVIE MACQUIN,SAINT EMILION GRAND CRU,RED,CC1B,60,BT,CB12,40.8,91-93
115,2014,DRAGON DE QUINTUS (LE),SAINT EMILION GRAND CRU,RED,2nd,60,BT,CB6,17,87-89
116,2014,VIEUX CHÂTEAU CERTAN,POMEROL,RED,-,12,BT,CB6,102,95-97
117,2014,CH. PAPE CLEMENT ROUGE,PESSAC LEOGNAN,RED,CC,12,BT,CB6,49.8,93-95
118,2014,BLANC DE CHASSE SPLEEN,BORDEAUX BLANC,WHITE,-,48,BT,CB6,12,-
119,2014,CH. CARBONNIEUX ROUGE,PESSAC LEOGNAN,RED,CC,48,BT,CB6,19.8,90-92
120,2014,CH. FIEUZAL ROUGE (DE),PESSAC LEOGNAN,RED,CC,48,BT,CB6,23,91-93
121,2014,HAUTS DE PONTET CANET,PAUILLAC,RED,2nd,48,BT,CB6,24,-
122,2014,PAGODES DE COS (LES),SAINT ESTEPHE,RED,2nd,48,BT,CB6,26.4,90-92
123,2014,CH. BOUSCAUT BLANC,PESSAC LEOGNAN,WHITE,CC,36,BT,CB6,19.9,-
124,2014,CH. COUSPAUDE (LA),SAINT EMILION GRAND CRU,RED,CC,36,BT,CB6,30,-
125,2014,CH. PAPE CLEMENT BLANC,PESSAC LEOGNAN,WHITE,CC,30,BT,CB6,88.2,92-94
126,2014,CH. POINTE (LA),POMEROL,RED,-,28,BT,CB12,20.4,89-91
127,2014,CH. BRANE CANTENAC,MARGAUX,RED,2CC,24,BT,CB12,33,91-93
128,2014,CH. CROIZET BAGES,PAUILLAC,RED,5CC,24,BT,CB12,19.95,85-87
129,2014,SIRENE DE GISCOURS (LA),MARGAUX,RED,2nd,24,BT,CB12,13.45,84-86
130,2014,CH. SUDUIRAUT,SAUTERNES,SWEET,1CC,18,BT,CB6,42,95-97
131,2014,CLARTE DE HAUT BRION (LA),PESSAC LEOGNAN,WHITE,-,18,BT,CB6,65,88-90
132,2014,CH. CLAUZET,SAINT ESTEPHE,RED,-,12,BT,CB12,10.6,89-91
133,2014,CH. GAFFELIERE (LA),SAINT EMILION GRAND CRU,RED,CC1B,12,BT,CB12,37,87-89
134,2014,CH. MOULIN SAINT GEORGES,SAINT EMILION GRAND CRU,RED,-,12,BT,CB12,19.2,89-91
135,2014,CLOS DU JAUGUEYRON,MARGAUX,RED,-,12,BT,CB6,26,-
136,2014,CAILLOU BLANC,BORDEAUX BLANC,WHITE,-,6,BT,CB6,16.8,82-84
137,2014,CH. BEAUSEJOUR DUFFAU,SAINT EMILION GRAND CRU,RED,CC1B,6,BT,CB6,54,90-92
138,2014,CH. BRANAIRE DUCRU,SAINT JULIEN,RED,4CC,6,BT,CB6,29.4,90-92
139,2014,CH. FIEUZAL BLANC (DE),PESSAC LEOGNAN,WHITE,CC,6,BT,CB6,27.6,91-93
140,2014,CH. FIGEAC,SAINT EMILION GRAND CRU,RED,CC1B,6,BT,CB6,60,93-95
141,2014,CH. HAUT MARBUZET,SAINT ESTEPHE,RED,-,6,BT,CB6,22.5,90-92
142,2014,CH. MONDOTTE (LA),SAINT EMILION GRAND CRU,RED,CC1B,6,BT,CB6,118,92-94
143,2014,CH. VIOLETTE (LA),POMEROL,RED,-,6,BT,CB6,150,93-95
144,2014,SIRENE DE GISCOURS (LA),MARGAUX,RED,2nd,6,BT,CB6,13.45,84-86
145,2014,CH. COUTET,BARSAC,SWEET,CC1,3,BT,CB3,24,93-95+
146,2014,CH. MONTROSE,SAINT ESTEPHE,RED,2CC,3,BT,CB3,88.8,95-97
147,2014,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,-,3,BT,CB3,67,90-92
