,Wine,Vintage,Format,Region,Cost,Qty,Negoce
78,CH. BOUSCAUT BLANC,2009,75cl,Bordeaux,19.8,0,DIVA
79,CH. CLOS DE SARPE,2009,75cl,Bordeaux,89.0,0,DIVA
80,CH. COUHINS ROUGE,2009,75cl,Bordeaux,19.0,0,DIVA
81,CH. COUTET,2009,75cl,Bordeaux,42.0,0,DIVA
82,CH. DUHART MILON ROTHSCHILD,2009,75cl,Bordeaux,80.0,0,DIVA
83,CH. LAFITE ROTHSCHILD,2009,75cl,Bordeaux,680.0,0,DIVA
84,CH. LEOVILLE LAS CASES,2009,75cl,Bordeaux,215.0,0,DIVA
85,CH. LEOVILLE POYFERRE,2009,75cl,Bordeaux,180.0,0,DIVA
86,CH. LYNCH BAGES,2009,75cl,Bordeaux,155.0,0,DIVA
87,CH. MALARTIC LAGRAVIERE BLANC,2009,75cl,Bordeaux,45.6,0,DIVA
88,CH. MARGAUX,2009,75cl,Bordeaux,720.0,0,DIVA
89,CH. MISSION HAUT BRION ROUGE (LA),2009,75cl,Bordeaux,625.0,0,DIVA
90,CH. MOUTON ROTHSCHILD,2009,75cl,Bordeaux,640.0,0,DIVA
91,CH. PALMER,2009,75cl,Bordeaux,245.0,0,DIVA
92,CH. PONTET CANET,2009,75cl,Bordeaux,182.0,0,DIVA
93,CH. VAL DE ROC,2009,75cl,Bordeaux,6.0,0,DIVA
94,CLARENCE DE HAUT BRION (LE),2009,75cl,Bordeaux,87.5,0,DIVA
95,FORTS DE LATOUR (LES),2009,75cl,Bordeaux,175.0,0,DIVA
96,RESERVE DE LA COMTESSE (LA),2009,75cl,Bordeaux,34.0,0,DIVA
97,CARRUADES DE LAFITE,2010,75cl,Bordeaux,172.0,0,DIVA
98,CH. AUSONE,2010,75cl,Bordeaux,1300.0,0,DIVA
99,CH. BERNADOTTE,2010,75cl,Bordeaux,12.0,0,DIVA
100,CH. CLOS DE SARPE,2010,75cl,Bordeaux,70.0,0,DIVA
101,CH. CONSEILLANTE (LA),2010,75cl,Bordeaux,155.0,0,DIVA
102,CH. COS D'ESTOURNEL,2010,75cl,Bordeaux,197.0,0,DIVA
103,CH. COUHINS BLANC,2010,75cl,Bordeaux,14.4,0,DIVA
104,CH. COUTET,2010,75cl,Bordeaux,40.0,0,DIVA
105,CH. DOMINIQUE (LA),2010,75cl,Bordeaux,36.0,0,DIVA
106,CH. DUHART MILON ROTHSCHILD,2010,75cl,Bordeaux,65.0,0,DIVA
107,CH. HAUT BRION ROUGE,2010,75cl,Bordeaux,700.0,0,DIVA
108,CH. LEOVILLE LAS CASES,2010,75cl,Bordeaux,189.0,0,DIVA
109,CH. MALARTIC LAGRAVIERE BLANC,2010,75cl,Bordeaux,43.0,0,DIVA
110,CH. MARGAUX,2010,75cl,Bordeaux,660.0,0,DIVA
