,Wine,Vintage,Format,Cost,Qty,Negoce
90,GUIRAUD,2003,750ml,51.0,12,Clarence Dillon
91,GUIRAUD,2005,750ml,33.0,6,Clarence Dillon
92,HAUT-BAILLY,2002,750ml,55.5,72,Clarence Dillon
93,HAUT-BAILLY,2003,750ml,54.0,1,Clarence Dillon
94,HAUT-BAILLY,2004,750ml,64.0,25,Clarence Dillon
95,HAUT-BAILLY,2006,750ml,68.0,252,Clarence Dillon
96,HAUT-BAILLY,2007,750ml,45.9,54,Clarence Dillon
97,ISSAN ,2005,750ml,88.0,49,Clarence Dillon
98,ISSAN ,2008,750ml,54.0,42,Clarence Dillon
99,LANGOA BARTON,2011,750ml,33.0,254,Clarence Dillon
100,LANGOA BARTON,2012,750ml,32.0,96,Clarence Dillon
101,LANGOA BARTON,2013,750ml,28.5,192,Clarence Dillon
102,LASCOMBES ,2011,750ml,55.0,36,Clarence Dillon
103,LASCOMBES ,2014,750ml,48.0,72,Clarence Dillon
104,LEOVILLE LAS CASES,1996,750ml,270.0,20,Clarence Dillon
105,LEOVILLE LAS CASES,1998,750ml,156.0,36,Clarence Dillon
106,LEOVILLE LAS CASES,2002,750ml,150.0,12,Clarence Dillon
107,LEOVILLE LAS CASES,2004,750ml,136.0,24,Clarence Dillon
108,LEOVILLE-BARTON ,2012,750ml,55.0,312,Clarence Dillon
109,LEOVILLE-BARTON ,2014,750ml,56.5,180,Clarence Dillon
110,LEOVILLE-POYFERRE,1983,750ml,147.0,12,Clarence Dillon
111,LEOVILLE-POYFERRE,1989,750ml,129.0,12,Clarence Dillon
112,LEOVILLE-POYFERRE,1990,750ml,294.0,12,Clarence Dillon
113,LEOVILLE-POYFERRE,1996,750ml,117.0,36,Clarence Dillon
114,LEOVILLE-POYFERRE,1999,750ml,74.5,24,Clarence Dillon
115,LEOVILLE-POYFERRE,2000,750ml,152.0,9,Clarence Dillon
116,LEOVILLE-POYFERRE,2002,750ml,63.0,12,Clarence Dillon
117,LEOVILLE-POYFERRE,2003,750ml,147.0,19,Clarence Dillon
118,LEOVILLE-POYFERRE,2005,750ml,111.0,12,Clarence Dillon
119,LEOVILLE-POYFERRE,2006,750ml,71.0,12,Clarence Dillon
120,LEOVILLE-POYFERRE,2007,750ml,59.0,145,Clarence Dillon
121,LEOVILLE-POYFERRE,2010,750ml,118.0,12,Clarence Dillon
122,LEOVILLE-POYFERRE,2011,750ml,51.6,12,Clarence Dillon
123,LEOVILLE-POYFERRE,2014,750ml,48.0,12,Clarence Dillon
124,LILIAN LADOUYS ,2014,750ml,14.4,324,Clarence Dillon
125,LYNCH BAGES,1996,750ml,165.0,60,Clarence Dillon
126,LYNCH BAGES,2005,750ml,147.0,60,Clarence Dillon
127,LYNCH BAGES,2006,750ml,105.0,24,Clarence Dillon
128,LYNCH BAGES,2010,750ml,127.0,24,Clarence Dillon
129,LYNCH BAGES,2012,750ml,72.0,81,Clarence Dillon
130,LYNCH BAGES,2013,750ml,72.0,84,Clarence Dillon
131,MALARTIC-LAGRAVIERE BLANC,2009,750ml,46.5,24,Clarence Dillon
132,MARGAUX,1994,750ml,395.0,5,Clarence Dillon
133,MARGAUX,1997,750ml,400.0,60,Clarence Dillon
134,MARGAUX,1998,750ml,380.0,15,Clarence Dillon
135,MARGAUX,2001,750ml,399.0,4,Clarence Dillon
136,MARGAUX,2004,750ml,370.0,43,Clarence Dillon
137,MARGAUX,2012,750ml,360.0,60,Clarence Dillon
138,MARGAUX,2013,750ml,340.0,12,Clarence Dillon
139,MAUVESIN BARTON ,2013,750ml,9.3,513,Clarence Dillon
140,MAUVESIN BARTON ,2014,750ml,9.3,598,Clarence Dillon
141,MEYNEY ,2010,750ml,23.0,36,Clarence Dillon
142,MEYNEY ,2012,750ml,21.0,479,Clarence Dillon
143,MEYNEY ,2014,750ml,18.0,202,Clarence Dillon
144,MONDOTTE (La),2011,750ml,110.0,24,Clarence Dillon
145,MONDOTTE (La),2013,750ml,100.3,24,Clarence Dillon
146,MONDOTTE (La),2014,750ml,108.0,12,Clarence Dillon
147,MONTROSE,1998,750ml,95.0,1,Clarence Dillon
148,MONTROSE ,2001,750ml,90.0,1,Clarence Dillon
149,MONTROSE ,2002,750ml,70.0,1,Clarence Dillon
150,MONTROSE,2004,750ml,78.0,1,Clarence Dillon
151,MONTROSE,2013,750ml,59.0,288,Clarence Dillon
152,MOUTON ROTHSCHILD,1999,750ml,460.0,12,Clarence Dillon
153,MOUTON ROTHSCHILD,2009,750ml,590.0,4,Clarence Dillon
154,MOUTON ROTHSCHILD,2010,750ml,625.0,30,Clarence Dillon
155,MOUTON ROTHSCHILD,2011,750ml,360.0,12,Clarence Dillon
156,NENIN,2002,750ml,40.0,60,Clarence Dillon
157,NENIN,2013,750ml,27.0,90,Clarence Dillon
158,NENIN,2014,750ml,29.0,240,Clarence Dillon
159,OLIVIER ,2010,750ml,29.5,240,Clarence Dillon
