,wine
145,PEBY FAUGERES / MERLE de PEBY FAUGERES 
146,EVANGILE (L') (Lafite) / BLASON DE L'EVANGILE
147,ARMAILHAC (Mouton)
148,Cognac Hennessy - XO
149,DOISY DAËNE - (Bordeaux Blanc) 
150,HAUT BRION
151,CROIX MOUTON (J.P. JANOUEIX)
152,COUVENT DES JACOBINS 
153,COS D'ESTOURNEL / PAGODES DE COS
154,CHASSE SPLEEN BLANC
155,PALMER / ALTER EGO
156,ANGELUS / DAME DE BOÜARD
157,PAVIE / L'ESPRIT DE PAVIE
158,MAGREZ FOMBRAUGE
159,COS D'ESTOURNEL
160,BEAUSEJOUR DUFFAU
161,DUCRU B. / CROIX de BEAUCAILLOU
162,PICHON BARON (Longueville)
163,THIENPONT / PUYGUERAUD
164,LEOVILLE LAS CASES / PETIT LION
165,"COUFRAN, lovers edition"
166,LAFITE / COGNAC TRES VIEILLE RESERVE
167,TALBOT / CONNETABLE DE TALBOT
168,"GUIGAL TRILOGIE ""LA LANDONNE/LA MOULINE/LA TURQUE"""
169,COS / GOULEE by Cos d'Estournel
170,Domaine de Chev./Clos des Lunes (Sauternes)
171,MISSION HAUT BRION / CHAPELLE DE LA…
172,PICHON LALANDE (Comtesse)
173,FIEUZAL (DE)
174,SUDUIRAUT / S de SUDUIRAUT
175,ANGELUS / LA FLEUR DE BOUARD
176,CANTEMERLE / ALLEES DE CANTEMERLE
177,Maison Leroy - Pommard
178,CAMENSAC / CLOSERIE DE CAMENSAC
179,Maison Leroy - Cote de Nuits Villages
180,ANGELUS / LE PLUS DE LA FLEUR DE BOUARD
181,CROIX ST VINCENT (La)
182,MOUTON ROTHSCHILD / AILE D'ARGENT
183,MALESCOT ST-EXUPERY
184,Maison Leroy - Santenay 1er cru la Comme
185,PAVIE / AROMES DE PAVIE
186,VIEUX TELEGRAPHE - DOMAINE BRUNIER
187,Maison Leroy - Cote de Beaune Villages
188,TAILLEFER/ TAUZINAT – L’HERMITAGE
189,Maison Leroy - Meursault 1er cru les Perrieres
190,"GAUDIN, Pauillac"
191,ISSAN (D') / BLASON D'ISSAN
192,AUSONE / SIMARD
193,"Domaine de Chev./Clos des Lunes ""Argent"""
194,EGLISE CLINET (L') / MONTLANDRIE 
195,VIEUX CHÂTEAU CERTAN
196,PICHON LALANDE / RESERVE DE LA COMTESSE
197,RAUZAN SEGLA/SEGLA
198,DOMAINE DE CHEVALIER 
199,COUTET CUVEE MADAME
200,CLOS LES LUNELLES (Pavie)
201,HAUT BRION
202,JABOULET-HERMITAGE LA CHAPELLE
203,HAUT BRION ex-château
204,PETIT MOUTON
205,LE PLUS DE LA FLEUR DE BOUARD
206,QUINTUS (HAUT BRION)
207,ALTER EGO DE PALMER
208,CHÂTEAU DE BEAUCASTEL
209,CLOS DES CARMES HAUT BRION
210,LE MERLE DE PEBY FAUGERES
211,CLOS LA GAFFELIERE
212,CARBONNIEUX  
213,RESERVE DE LEOVILLE BARTON
214,TOUR DU PIN (cheval blanc)
215,DOMAINE DE CHEVALIER
216,COS D'ESTOURNEL 
217,BEAUSEJOUR DUFFAU
218,VIEUX CHÂTEAU CERTAN
219,FONBEL (Ausone)
220,PICHON LALANDE
221,C DES CARMES HAUT BRION
222,SMITH HAUT LAFITTE RED
223,FIEUZAL
224,SAINTAYME (Durantou)
225,ASTERIES (LES)
226,MALARTIC LAGRAVIERE
227,PICHON LALANDE  ex-chateau
228,CARRE (LE)
229,CHAPELLE D'AUSONE
230,VIEUX CHÂTEAU MAZERAT
231,VIRGINIE DE VALANDRAUD
232,HOMMAGE A JACQUES PERRIN
233,GAJA SAN LORENZO
234,MONDOT
235,CLOS FLORIDENE
236,LES CRUZELLES (Durantou)
237,MARGAUX DE BRANE (3RD WINE)
238,BLANC SEC DE SUDUIRAUT
239,PAVILLON BLANC
240,CANTEMERLE Ex-Château
241,LAFITE ROTHSCHILD ex-château
242,MONTROSE  ex-château
243,PETIT HAUT LAFITTE 
244,DÔME (LE)
245,GAJA DARMAGI
246,CLOSERIE DE FOURTET
247,PICHON BARON
248,LATOUR  ex-Château
249,VALANDRAUD BLANC
250,LATOUR MARTILLAC
251,CARILLON DE L'ANGELUS
252,MANOIR DE GAY
253,MARGAUX ex-château
254,LA MISSION HAUT BRION ex-Château
255,AILE D'ARGENT
256,CHASSE SPLEEN
257,CLOS DUBREUIL
258,MONT PERAT
259,CLIMENS Ex-Château
260,ESQUISSE DE TOUR FIGEAC
261,DEMOISELLE DE SOCIANDO
262,PAVILLON ROUGE
263,DUCRU BEAUCAILLOU ex-château
264,PETIT CHEVAL
265,LUNE D'ARGENT-CLOS DES LUNES
266,MONTLANDRIE (Durantou)
267,CHAPELLE DE LA MISSION
268,MONBOUSQUET
269,CLEMENTIN DE PAPE CLEMENT
270,COS D ESTOURNEL
271,CHASSE SPLEEN 
272,COS D'ESTOURNEL
273,OLIVIER 
274,AILE D'ARGENT 
275,ESTOUBLON (d') 
276,VIEUX CHÂTEAU CERTAN
277,CAILLOU BLANC CHÂTEAU TALBOT 
278,MARQUIS DE CALON (Le)
279,PICHON LONGUEVILLE COMTESSE de LALANDE
280,L'ABEILLE DE FIEUZAL BLC
281,LE CARRE
282,CLOS LA GAFFELIERE
283,CHATEAU PICHON BARON
284,CHATEAU MAGREZ FOMBRAUGE
285,CHAPELLE D'AUSONE
286,CHATEAU SMITH HAUT LAFITTE BLC
287,CHATEAU PICHON LALANDE
288,CLOS MANOU
289,CHATEAU PAPE-CLEMENT BLC
290,CHATEAU LE THIL COMTE CLARY
291,TRILOGIE
292,LE DOME
293,ENCLOS TOURMALINE
294,LE CADET DE L'INSOUCIANCE
295,DOMAINE DE LA SOLITUDE ROUGE
296,CHATEAU LA MISSION HT BRION BL
297,MAROJALLIA
298,ANGELOTS DE VILLEMAURINE
299,CHATEAU CHASSE SPLEEN (BX BLC)
300,PENSEES DE LAFLEUR
301,L'ESQUISSE DE LA TOUR FIGEAC
302,LES TROIS ORIGINES
303,ALTER EGO DE PALMER
304,CHATEAU MALARTIC-LAGRAVIERE BL
305,CHATEAU DE CHANTEGRIVE
306,LA CLOSERIE DE FOURTET
307,CHATEAU DULUC
308,CHATEAU LESPAULT MARTILLAC
309,OPALIE DE CHATEAU COUTET
310,CHATEAU SMITH HAUT LAFITTE RGE
311,'Y' YQUEM (BORDEAUX BLANC SEC)
312,DUO DE CONSEILLANTE
313,LES ANGELOTS DE GRACIA
314,HISTORICAL XIXTH CENTURY WINE
315,CHAPELLE DE LA MISSION HT BRIO
316,SEIGNEURS D'AIGUILHE
317,CHATEAU COUTET CUVEE MADAME
318,HERITAGE DE CHASSE SPLEEN
319,CHT MOULIN ST GEORGES
320,CHATEAU LESPAULT MARTILLAC BLC
321,LE PETIT MOUTON
322,LA VIERGE D'ARNAUTON
323,CHATEAU LA LOUVIERE RGE
324,LE PETIT HAUT LAFITTE
325,CLOS NARDIAN
326,CHATEAU MONBOUSQUET
327,VIEUX CHATEAU MAZERAT
328,L'EXTRAVAGANT DE DOISY DAENE
329,LA SEMILLANTE DE SIGALAS
330,SAINTAYME
331,CHATEAU LATOUR MARTILLAC BLC
332,LES TOURS DE BEAUMONT
333,VIRGINIE DE VALANDRAUD
334,CHATEAU MAGREZ FOMBRAUGE BLC
335,MONDOT
336,FILIA DE GRAND MAYNE
337,LE SEUIL DE MAZEYRES
338,CHATEAU LA LOUVIERE BLC
339,LA MAURIANE
340,CHATEAU COS D'ESTOURNEL
341,LE CARILLON D'ANGELUS
342,CHATEAU HAUT BRION
343,CHATEAU COUHINS
344,LE DAUPHIN D'OLIVIER
345,GOULEE
346,CLOS RENE
347,LES ECLATS DE BRANAS
348,CHATEAU PICQUE CAILLOU
349,LE PETIT CHEVAL
350,CH.ARCHE LAFAURIE C.MADAME
351,L'ORME DE RAUZAN GASSIES
352,CHAPELLE DE LA MISSION HT BRI
353,DOMAINE DES GOURDINS
354,GIROLATE
355,CHATEAU CHASSE-SPLEEN
356,CHATEAU LE THIL
357,CHT FERRAND LARTIGUE
358,CHATEAU OLIVIER
359,LE PLUS DE LA FLEUR DE BOUARD
360,LA PARDE DE HT BAILLY
361,NPU CHATEAU D'AIGUILHE
362,LA CHENADE (DURANTOU)
363,MANOIR DE GAY
364,CHATEAU LE SARTRE RGE
365,LA RESERVE DE MALARTIC
366,CHATEAU PAPE CLEMENT RGE
367,CHATEAU BEAUSEJOUR DUFFAU
368,FOLIE DE CHAUVIN
369,CLEMENTIN DE PAPE CLEMENT
370,Esmonin Sylvie Gevrey-Chambertin Clos St. Jacques
371,Dujac Domaine Morey Saint Denis 1er Cru
372,Groffier Robert Chambolle Musigny Les Amoureuses
373,Comtes Lafon Domaine Meursault Charmes
374,Gouges Henri Nuits Saint Georges Clos des Porrets
375,Dugat Claude Gevrey-Chambertin Lavaux St. Jacques
376,Coche-Dury Domaine Volnay
377,Raveneau Francois Chablis Valmur
378,Mugneret-Gibourg Domaine Echezeaux
379,Lamarche Francois La Grande Rue
380,Groffier Robert Chambolle Musigny Les Sentiers
381,Clape Auguste Cornas
382,Dauvissat Rene et Vincent Chablis Sechet
383,Coche-Dury Domaine Meursault Les Perrieres
384,Mugnier Jacques-Frederic Nuits Saint Georges Le Clos de la Marechale
385,Dujac Domaine Charmes-chambertin
386,Ponsot Domaine Griotte-Chambertin
387,Laroze Drouhin Domaine Chapelle-Chambertin
388,Hudelot-Noellat Domaine Vougeot Les Petits Vougeots
389,Trapet Jean et Jean Louis Latricieres-Chambertin
390,Jadot Louis Montrachet
391,Reynaud Emmanuel Fonsalette
392,Comtes Lafon Domaine Montrachet
393,Raveneau Francois Chablis Vaillons
394,Coche-Dury Domaine Bourgogne Aligote
395,Mugneret-Gibourg Domaine Clos Vougeot
396,Jadot Louis Musigny
