,Wine,Vintage,Format,Cost,Qty,Negoce
98,PAVILLON BLANC,2010,1500ml,320.0,12,Twins
99,PAVILLON BLANC,2011,1500ml,320.0,12,Twins
100,PETIT MOUTON,2005,1500ml,395.0,12,Twins
101,PICHON BARON,2012,1500ml,150.0,12,Twins
102,PICHON LALANDE,2011,1500ml,150.0,12,Twins
103,PICHON LALANDE  ex-chateau,1995,1500ml,410.0,12,Twins
104,PICHON LALANDE  ex-chateau,1996,1500ml,425.0,12,Twins
105,PRIEURE LICHINE,2006,1500ml,83.0,12,Twins
106,RAUZAN SEGLA,1988,1500ml,195.0,12,Twins
107,RAUZAN SEGLA,1999,1500ml,138.0,12,Twins
108,RAUZAN SEGLA,2010,1500ml,172.0,12,Twins
109,RIEUSSEC,1975,1500ml,165.0,12,Twins
110,SUDUIRAUT  ,2003,1500ml,70.0,12,Twins
111,TALBOT,1994,1500ml,96.0,12,Twins
112,TALBOT,1998,1500ml,135.0,12,Twins
113,TALBOT,2011,1500ml,90.0,12,Twins
114,TOUR FIGEAC,1990,1500ml,96.0,12,Twins
115,TOUR FIGEAC,1995,1500ml,79.9,12,Twins
116,TOUR FIGEAC,1999,1500ml,65.0,12,Twins
117,TOUR FIGEAC,2001,1500ml,76.8,12,Twins
118,TOUR FIGEAC,2003,1500ml,66.0,12,Twins
119,TROPLONG MONDOT,1995,1500ml,150.0,12,Twins
120,TROPLONG MONDOT,1998,1500ml,145.0,12,Twins
121,CANTEMERLE,2001,3000ml,135.0,6,Twins
122,CHEVAL BLANC,2010,3000ml,3600.0,6,Twins
123,FIEFS DE LAGRANGE,1985,3000ml,150.0,6,Twins
124,FIGEAC,2008,3000ml,329.0,6,Twins
125,GRAND PUY LACOSTE,1993,3000ml,230.0,6,Twins
126,GRAND PUY LACOSTE,1995,3000ml,550.0,6,Twins
127,GRAND PUY LACOSTE,2005,3000ml,495.0,6,Twins
128,HAUT BAILLY,1999,3000ml,320.0,6,Twins
129,LA LAGUNE ,1996,3000ml,220.0,6,Twins
130,LA MISSION HAUT BRION BLANC,2014,3000ml,2000.0,6,Twins
131,LA VIOLETTE,2006,3000ml,600.0,6,Twins
132,LA VIOLETTE,2007,3000ml,540.0,6,Twins
133,LABEGORCE  ,1990,3000ml,136.0,6,Twins
134,LACOSTE BORIE,2005,3000ml,190.0,6,Twins
135,LAFON ROCHET,2005,3000ml,186.0,6,Twins
136,LE GAY,2006,3000ml,295.0,6,Twins
137,LILIAN LADOUYS,2000,3000ml,129.0,6,Twins
138,LILIAN LADOUYS,2005,3000ml,110.0,6,Twins
139,MALARTIC LAGRAVIERE,1999,3000ml,194.0,6,Twins
140,MEYNEY,1986,3000ml,160.0,6,Twins
141,PRIEURE LICHINE,2000,3000ml,260.0,6,Twins
142,VIRGINIE DE VALANDRAUD,2005,3000ml,168.0,6,Twins
143,ALLEES DE CANTEMERLE,2013,375ml,5.25,60,Twins
144,ARMAILHAC,2005,375ml,26.0,60,Twins
145,BLASON D ISSAN,2013,375ml,7.25,60,Twins
146,BLASON D ISSAN,2014,375ml,7.5,60,Twins
147,BON PASTEUR,2009,375ml,27.5,60,Twins
148,BRANAIRE DUCRU,2007,375ml,19.95,60,Twins
149,BRANAIRE DUCRU,2011,375ml,21.5,60,Twins
150,BRANAIRE DUCRU,2014,375ml,15.5,60,Twins
151,BRANE CANTENAC,2004,375ml,29.95,60,Twins
152,BRANE CANTENAC,2014,375ml,19.5,60,Twins
153,C DES CARMES HAUT BRION,2013,375ml,6.95,60,Twins
154,CANTEMERLE,2005,375ml,16.0,60,Twins
155,CANTENAC BROWN  ,2004,375ml,19.75,60,Twins
156,CANTENAC BROWN  ,2005,375ml,27.75,60,Twins
157,CANTENAC BROWN  ,2006,375ml,24.5,60,Twins
158,CANTENAC BROWN  ,2007,375ml,19.5,60,Twins
159,CANTENAC BROWN  ,2008,375ml,21.0,60,Twins
160,CANTENAC BROWN  ,2012,375ml,17.5,60,Twins
161,CANTENAC BROWN  ,2014,375ml,16.0,60,Twins
162,CHAPELLE DE LA MISSION,2014,375ml,18.0,60,Twins
163,CHÂTEAU DE BEAUCASTEL,2013,375ml,19.0,60,Twins
164,CHAUVIN,2011,375ml,11.9,60,Twins
165,CLIMENS,2007,375ml,49.0,60,Twins
166,CLINET ,2014,375ml,24.0,60,Twins
167,CLOS DES CARMES HAUT BRION,2011,375ml,6.95,60,Twins
168,CLOS DU MARQUIS,2002,375ml,16.65,60,Twins
169,CLOS DU MARQUIS,2006,375ml,18.0,60,Twins
170,CLOS DU MARQUIS,2007,375ml,15.5,60,Twins
171,CLOS DU MARQUIS,2008,375ml,19.0,60,Twins
172,COS D'ESTOURNEL ,2014,375ml,44.5,60,Twins
173,DOMAINE DE CHEVALIER,2014,375ml,19.0,60,Twins
174,DUHART MILON,2013,375ml,25.0,60,Twins
175,ECHO DE LYNCH BAGES,2014,375ml,11.5,60,Twins
176,FIEUZAL,1998,375ml,14.5,60,Twins
177,FIEUZAL,2002,375ml,12.5,60,Twins
178,FIEUZAL,2004,375ml,14.95,60,Twins
