,Wine,Vintage,Format,Cost,Qty,Negoce
108,Pichon Comtesse de Lalande,1975,730ml,240.0,12,CVBG
109,Climens,2014,750ml,43.8,12,CVBG
110,Clos Nardian,2009,750ml,30.0,12,CVBG
111,Girolate,2010,750ml,36.0,12,CVBG
112,Girolate blanc,2012,750ml,25.0,12,CVBG
113,Pavillon blanc,2005,750ml,170.0,12,CVBG
114,Pavillon blanc,2004,750ml,165.0,12,CVBG
115,Clos Puy Arnaud,2011,750ml,14.5,12,CVBG
116,Marjosse Blanc,2016,750ml,5.3,12,CVBG
117,La Lagune ,1990,750ml,105.0,12,CVBG
118,Plus de la Fleur de Bouard,2013,750ml,48.0,12,CVBG
119,Margaux,2009,750ml,695.0,12,CVBG
120,Margaux,1998,750ml,395.0,12,CVBG
121,Palmer,1996,750ml,200.0,12,CVBG
122,Rauzan Ségla,2000,750ml,100.0,12,CVBG
123,Sirène de Giscours,2013,750ml,18.0,12,CVBG
124,Mauvesin Barton,2014,750ml,9.9,12,CVBG
125,Lafite Rothschild,1995,750ml,770.0,12,CVBG
126,Lafite Rothschild,1989,750ml,790.0,12,CVBG
127,Latour,2010,750ml,1190.0,12,CVBG
128,Mouton Rothschild,2013,750ml,342.0,12,CVBG
129,Domaine de Chevalier rouge,1988,750ml,80.0,12,CVBG
130,Haut Brion,2009,750ml,700.0,12,CVBG
131,Mission Haut Brion ,2002,750ml,155.0,12,CVBG
132,Mission Haut Brion ,2000,750ml,560.0,12,CVBG
133,Mission Haut Brion Blanc,2012,750ml,480.0,12,CVBG
134,Pape Clément rouge,1999,750ml,108.0,12,CVBG
135,Pape Clément rouge,1996,750ml,120.0,12,CVBG
136,Clinet,2011,750ml,57.0,12,CVBG
137,Eglise Clinet,2010,750ml,315.0,12,CVBG
138,Petrus,2010,750ml,3000.0,12,CVBG
139,Rouget,2014,750ml,24.0,12,CVBG
140,Trotanoy,1999,750ml,125.0,12,CVBG
141,Trotanoy,1988,750ml,150.0,12,CVBG
142,Astéries,2006,750ml,40.0,12,CVBG
143,Ausone,2010,750ml,1250.0,12,CVBG
144,Ausone,2000,750ml,1200.0,12,CVBG
145,Clos Fourtet,2009,750ml,240.0,12,CVBG
146,Gaffelière ,2012,750ml,45.0,12,CVBG
147,Grand Pontet,2015,750ml,18.9,12,CVBG
148,Larcis Ducasse,2006,750ml,40.0,12,CVBG
149,Le Prieuré,2014,750ml,24.0,12,CVBG
150,Magrez Fombrauge,2010,750ml,86.4,12,CVBG
151,Mondotte ,2003,750ml,195.0,12,CVBG
152,Mondotte ,1996,750ml,450.0,12,CVBG
153,Pavie,2005,750ml,380.0,12,CVBG
154,Pavie,1998,750ml,265.0,12,CVBG
155,Pavie Macquin,2005,750ml,115.0,12,CVBG
156,Péby Faugères,2014,750ml,66.0,12,CVBG
157,Calon Ségur,2008,750ml,78.0,12,CVBG
158,Cos d'Estournel,2004,750ml,102.0,12,CVBG
159,Cos d'Estournel,2000,750ml,170.0,12,CVBG
160,Lafon Rochet,2001,750ml,48.0,12,CVBG
161,Montrose,2000,750ml,155.0,12,CVBG
162,Beychevelle,2002,750ml,92.0,12,CVBG
163,Ducru Beaucaillou,2014,750ml,110.0,12,CVBG
164,Gruaud Larose,1990,750ml,180.0,12,CVBG
165,Gruaud Larose,1988,750ml,100.0,12,CVBG
166,Gruaud Larose,1982,750ml,320.0,12,CVBG
167,Léoville Barton,2006,750ml,72.0,12,CVBG
168,Léoville Las Cases,2005,750ml,225.0,12,CVBG
169,Léoville Las Cases,1989,750ml,190.0,12,CVBG
170,Léoville Poyferré,2001,750ml,78.0,12,CVBG
171,Léoville Poyferré,1986,750ml,110.0,12,CVBG
172,Léoville Poyferré,1985,750ml,90.0,12,CVBG
173,Malle ,2007,750ml,21.0,12,CVBG
174,Rieussec,1997,750ml,55.0,12,CVBG
175,Suduiraut,2009,750ml,54.0,12,CVBG
176,Tour Blanche ,1990,750ml,59.0,12,CVBG
