,ID,Wine,Year,Region English,Region Chinese,Formats,Negoces,Price,Markup Percentile,Markup Price,WS Merchants,WS Prices,Recommended Prices,Margin,Sell,Date,Qty,English Type,Chinese Type,English Vendor,Chinese Vendor,Rating
504,CFW01399-2014-00750,Maison Leroy Montagny,2014,Burgundy,勃艮第,750ml,RCA,503.94,5%,647.79,N/A,N/A,645,144,N/A,2017-08-01 08:05,6,Red,紅酒,Domaine Leroy,N/A,N/A
505,CFW00665-2007-00750,Vega Sicilia Unico,2007,Ribera del Duero,鬥羅河,750ml,BM,1924.12,5%,2258.15,N/A,N/A,2258,334,N/A,2017-08-01 08:05,3,Red,紅酒,Vega Sicilia,贝加西西里亚,N/A
506,CFW00112-1975-01500,Chateau Lafon Rochet,1975,"St. Estephe, Bordeaux",波爾多,1500ml,Twins,1007.88,5%,1219.21,N/A,N/A,1218,211,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Lafon Rochet,N/A,N/A
507,CFW00130-2013-00750,Chateau Grand Puy Lacoste,2013,"Pauillac, Bordeaux",波爾多,750ml,Cuvees,265.2,5%,377.08,N/A,N/A,375,112,N/A,2017-08-01 08:05,23,Red,紅酒,Chateau Grand Puy Lacoste,拉高斯/拉古斯城堡庄园,N/A
508,CFW00174-2010-00750,Chateau Carbonnieux Blanc,2010,"Pessac Leognan, Bordeaux",波爾多,750ml,BM,194.24,5%,296.62,N/A,N/A,295,102,N/A,2017-08-01 08:05,72,White,白酒,Chateau Carbonnieux,N/A,N/A
509,CFW00020-2005-06000,Chateau Leoville Las Cases,2005,"St. Julien, Bordeaux",波爾多,6000ml,CVBG,18325.00,5%,20855.26,N/A,N/A,20855,2530,N/A,2017-08-01 08:05,1,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,N/A
510,CFW00078-2015-00750,Chateau Palmer,2015,"Margaux, Bordeaux",波爾多,750ml,RCA,2244.81,5%,2621.78,N/A,N/A,2620,377,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Palmer,宝马,N/A
511,CFW00251-1995-05000,Chateau Dassault,1995,"St. Emilion, Bordeaux",波爾多,5000ml,BM,2199.00,5%,2569.84,N/A,N/A,2568,371,N/A,2017-08-01 08:05,5,Red,紅酒,Chateau Dassault,N/A,N/A
512,CFW00047-2014-00750,Pagodes de Cos,2014,"St. Estephe, Bordeaux",波爾多,750ml,BM,265.71,5%,377.66,N/A,N/A,375,112,N/A,2017-08-01 08:05,600,Red,紅酒,Chateau Cos d’Estournel,愛士图,N/A
513,CFW00162-2013-00750,Chateau Cantemerle,2013,"Haut Medoc, Bordeaux",波爾多,750ml,RCA,174.09,5%,273.77,N/A,N/A,270,100,N/A,2017-08-01 08:05,660,Red,紅酒,Chateau Cantemerle,N/A,N/A
514,CFW00001-2006-00750,Chateau Lafite Rothschild,2006,"Pauillac, Bordeaux",波爾多,750ml,CVBG,6413.75,5%,7348.98,N/A,N/A,7348,935,N/A,2017-08-01 08:05,6,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,N/A
515,CFW00339-2005-00375,Chateau Climens,2005,"Sauternes, Bordeaux",波爾多,375ml,BM,352.76,5%,476.37,N/A,N/A,475,124,N/A,2017-08-01 08:05,96,Sweet,甜酒,Chateau Climens,N/A,N/A
516,CFW00027-1961-05000,Chateau Durfort Vivens,1961,"Margaux, Bordeaux","瑪歌, 波爾多",5000ml,Twins,21990.00,5%,25011.03,N/A,N/A,25010,3021,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Durfort Vivens,杜霍酒庄,N/A
517,CFW00041-2003-00750,Chateau Pichon Comtesse de Lalande,2003,"Pauillac, Bordeaux",波爾多,750ml,CVBG,1236.94,5%,1478.95,N/A,N/A,1478,242,N/A,2017-08-01 08:05,288,Red,紅酒,Chateau Pichon Comtesse de Lalande,碧尚女爵,N/A
518,CFW00244-2011-00375,Chateau Chauvin,2011,"St. Emilion, Bordeaux",波爾多,375ml,Twins,109.03,5%,200.00,N/A,N/A,200,91,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Chauvin,N/A,N/A
519,CFW00051-2006-00750,La Dame de Montrose,2006,"St. Estephe, Bordeaux",波爾多,750ml,BM,293.20,5%,408.83,N/A,N/A,408,116,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Montrose,梦玫瑰,N/A
520,CFW01754-2015-00750,Chateau Vieux Cassan,2015,"Medoc, Bordeaux",波爾多,750ml,RCA,36.19,5%,117.40,N/A,N/A,117.4,81,N/A,2017-08-01 08:05,24000,Red,紅酒,Chateau Vieux Cassan,N/A,N/A
521,CFW00078-1998-00750,Chateau Palmer,1998,"Margaux, Bordeaux",波爾多,750ml,Twins,1924.12,5%,2258.15,N/A,N/A,2258,334,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Palmer,宝马,N/A
522,CFW00014-2012-00750,Chateau Mouton Rothschild,2012,"Pauillac, Bordeaux",波爾多,750ml,CVBG,3252.69,5%,3764.62,N/A,N/A,3760,512,N/A,2017-08-01 08:05,120,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,N/A
523,CFW00224-2011-01500,Chateau Canon,2011,"St. Emilion, Bordeaux",波爾多,1500ml,BM,1273.59,5%,1520.50,N/A,N/A,1520,247,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Canon,卡侬城堡,N/A
524,CFW00001-2010-03000,Chateau Lafite Rothschild,2010,"Pauillac, Bordeaux",波爾多,3000ml,RCA,45812.50,5%,52023.59,N/A,N/A,52020,6211,N/A,2017-08-01 08:05,12,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,N/A
525,CFW00310-2013-00750,Chateau La Conseillante,2013,"Pomerol, Bordeaux","波默罗, 波爾多",750ml,Twins,527.76,5%,674.80,N/A,N/A,670,147,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau La Conseillante,N/A,N/A
526,CFW01841-1983-00750,Petrus,1983,"Pomerol, Bordeaux",波爾多,750ml,CVBG,13743.75,5%,15660.53,N/A,N/A,15660,1917,N/A,2017-08-01 08:05,1,Red,紅酒,Petrus,N/A,N/A
527,CFW00330-2013-00375,Chateau d'Yquem,2013,"Sauternes, Bordeaux",波爾多,375ml,BM,1145.31,5%,1375.05,N/A,N/A,1375,230,N/A,2017-08-01 08:05,1200,Sweet,甜酒,Chateau d'Yquem,N/A,N/A
528,CFW00586-2014-00750,Chateau Tayac,2014,"Margaux, Bordeaux",波爾多,750ml,BM,90.71,5%,179.23,N/A,N/A,179.23,89,N/A,2017-08-01 08:05,1200,Red,紅酒,Chateau Tayac,N/A,N/A
529,CFW00017-1995-00750,Chateau Rauzan Segla,1995,"Margaux, Bordeaux",波爾多,750ml,Cuvees,790.5,5%,972.72,N/A,N/A,970,182,N/A,2017-08-01 08:05,1,Red,紅酒,Chateau Rauzan Segla,魯臣世家庄园,N/A
530,CFW00161-1996-05000,Chateau Croizet Bages,1996,"Pauillac, Bordeaux",波爾多,5000ml,BM,2089.05,5%,2445.16,N/A,N/A,2445,356,N/A,2017-08-01 08:05,2,Red,紅酒,Chateau Croizet Bages,N/A,N/A
531,CFW01804-2005-01500,Chateau Laville Haut Brion,2005,"Pessac Leognan, Bordeaux",波爾多,1500ml,Clarence Dillon,30786.00,5%,34984.90,N/A,N/A,34980,4199,N/A,2017-08-01 08:05,24,White,白酒,Chateau La Mission Haut Brion,N/A,N/A
532,CFW01604-2014-00750,Chateau Moulin Haut Villars,2014,"Fronsac, Bordeaux",波爾多,750ml,RCA,55.43,5%,139.22,N/A,N/A,139.22,84,N/A,2017-08-01 08:05,1200,Red,紅酒,Chateau Moulin Haut Villars,N/A,N/A
533,CFW00017-2000-00375,Chateau Rauzan Segla,2000,"Margaux, Bordeaux",波爾多,375ml,Cuvees,487.2,5%,628.81,N/A,N/A,628,142,N/A,2017-08-01 08:05,58,Red,紅酒,Chateau Rauzan Segla,魯臣世家庄园,N/A
534,CFW00648-2012-00750,Solaia,2012,Tuscany,托斯卡納,750ml,CVBG,1236.94,5%,1478.95,N/A,N/A,1478,242,N/A,2017-08-01 08:05,12,Red,紅酒,Marchesi Antinori,安东尼世家酒庄,N/A
535,CFW00730-2013-00750,DRC Romanee Conti,2013,"Vosne-Romanee, Burgundy",勃艮第,750ml,RCA,117280.00,5%,133061.25,N/A,N/A,133060,15781,N/A,2017-08-01 08:05,8,Red,紅酒,Domaine de la Romanee Conti,罗曼尼康帝,N/A
536,CFW00306-2010-01500,Chateau L'Eglise Clinet,2010,"Pomerol, Bordeaux","波默罗, 波爾多",1500ml,BM,6413.75,5%,7348.98,N/A,N/A,7348,935,N/A,2017-08-01 08:05,6,Red,紅酒,Chateau Eglise Clinet,N/A,N/A
537,CFW00160-2013-00750,Pastourelle de Clerc Milon,2013,"Pauillac, Bordeaux",波爾多,750ml,BM,198.83,5%,301.82,N/A,N/A,300,103,N/A,2017-08-01 08:05,600,Red,紅酒,Baron Philippe de Rothschild,N/A,N/A
