,Type,Vendor,Wine,Vintage,Format,Region,Cost,Qty,Negoce
66,Red,HAUT BATAILEY,HAUT BATAILEY,2008,75cl,Bordeaux,320,0,Cuvees
67,Red,GRAND PUY LACOSTE,GRAND PUY LACOSTE,2006,75cl,Bordeaux,470,0,Cuvees
68,Red,GRAND PUY LACOSTE,GRAND PUY LACOSTE,2007,75cl,Bordeaux,395,0,Cuvees
69,Red,GRAND PUY LACOSTE,GRAND PUY LACOSTE,2012,75cl,Bordeaux,395,0,Cuvees
70,Red,BATAILLEY,BATAILLEY,2007,75cl,Bordeaux,330,0,Cuvees
71,Red,DASSAULT,DASSAULT,2008,75cl,Bordeaux,295,0,Cuvees
72,Red,TALBOT,TALBOT,2007,75cl,Bordeaux,395,0,Cuvees
73,Red,BRAINAIRE DUCRU,BRAINAIRE DUCRU,1998,75cl,Bordeaux,495,0,Cuvees
74,Red,CALON SEGUR,CALON SEGUR,1996,75cl,Bordeaux,920,0,Cuvees
75,Red,FOURCAS BORIE,FOURCAS BORIE,2008,75cl,Bordeaux,110,0,Cuvees
76,Red,VILLARS,VILLARS,2010,75cl,Bordeaux,109,0,Cuvees
77,Red,FIGEAC,FIGEAC,2009,75cl,Bordeaux,1622,0,Cuvees
78,Red,FIGEAC,FIGEAC,1997,75cl,Bordeaux,590,0,Cuvees
79,Red,LASCOMBES,LASCOMBES CHEVALIER DE LASCOMBES,2009,75cl,Bordeaux,230,0,Cuvees
80,Red,LASCOMBES,LASCOMBES,1996,75cl,Bordeaux,750,0,Cuvees
81,Red,SMITH HAUT LAFITTE,SMITH HAUT LAFITTE ROUGE,1997,75cl,Bordeaux,430,0,Cuvees
82,Red,REYNON,REYNON ROUGE,2011,75cl,Bordeaux,83,0,Cuvees
83,Red,REYNON,REYNON CLOS DE REYNON,2010,75cl,Bordeaux,45,0,Cuvees
84,White,DENIS DUBOURDIEU,DENIS DUBOURDIEU DRAPEAUX DE FLORIDENE,2012,75cl,Bordeaux,86,0,Cuvees
85,Champagne,POMMERY,POMMERY CUVEE LOUISE,1999,75cl,Champagne,597,0,Cuvees
86,Champagne,VEUVE CLICQUOT PONSARDIN,VEUVE CLICQUOT PONSARDIN BRUT,NV,75cl,Champagne,315,0,Cuvees
87,Champagne,VEUVE CLICQUOT PONSARDIN,VEUVE CLICQUOT PONSARDIN BRUT ROSE,NV,75cl,Champagne,348,0,Cuvees
88,Champagne,VEUVE CLICQUOT PONSARDIN,VEUVE CLICQUOT PONSARDIN LA GRANDE DAME,2004,75cl,Champagne,790,0,Cuvees
89,Champagne,MOET & CHANDON,MOET & CHANDON BRUT IMPERIAL,NV,75cl,Champagne,290,0,Cuvees
90,Champagne,POL ROGER,POL ROGER BRUT,NV,75cl,Champagne,279,0,Cuvees
91,Champagne,KRUG,KRUG GRANDE CUVEE,NV,75cl,Champagne,1074,0,Cuvees
92,Champagne,KRUG,KRUG ROSE,NV,75cl,Champagne,1680,0,Cuvees
93,Champagne,DOM PERIGNON,DOM PERIGNON SILVER,2002,75cl,Champagne,1295,0,Cuvees
94,Champagne,DOM PERIGNON,DOM PERIGNON,2004,75cl,Champagne,932,0,Cuvees
95,Champagne,DOM PERIGNON,DOM PERIGNON JEFF KOONS,2004,75cl,Champagne,1125,0,Cuvees
96,Champagne,DOM PERIGNON,DOM PERIGNON ROSE JEFF KOONS,2003,75cl,Champagne,2065,0,Cuvees
97,Champagne,RUINART,RUINART BLANC DE BLANC (AROMAS COLLECTION),NV,75cl,Champagne,488,0,Cuvees
98,Champagne,RUINART,RUINART BLANC DE BLANC,2008,75cl,Champagne,443,0,Cuvees
99,Champagne,RUINART,RUINART ROSE,NV,75cl,Champagne,443,0,Cuvees
100,Champagne,RUINART,RUINART DOM RUINART BLANC,NV,75cl,Champagne,983,0,Cuvees
101,Red,MUSAR,MUSAR,1999,75cl,Bekaa Valley,238,0,Cuvees
102,Red,MUSAR,MUSAR,2004,75cl,Bekaa Valley,196,0,Cuvees
