,VINTAGE,ESTATE,APPELLATION,COLOR,CLASSIFICATION,QUANTITY,VOLUME,PACKING,PRICE,WA
61,2007,CH. MARJOSSE,BORDEAUX,RED,,48,BT,CB12,5.0,-
62,2007,CH. PAVIE DECESSE,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,95.0,92-94
63,2007,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,BT,-,43.5,93
64,2007,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,DM,OWC24,21.5,93
65,2007,CH. SUDUIRAUT,SAUTERNES       ,SWEET,1CC,36,BT,OWC12,38.0,93
66,2007,CH. YQUEM (D'),SAUTERNES       ,SWEET,1CCSUP,54,BT,-,380.0,98
67,2007,CHEVALIER DE LASCOMBES,MARGAUX,RED,2nd,600,BT,OWC12,18.2,
68,2007,MONDOT,SAINT EMILION GRAND CRU,RED,2nd,24,BT,OWC12,15.5,-
69,2008,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,3,BT,OWC3,580.0,98
70,2008,CH. BELLEVUE MONDOTTE,SAINT EMILION GRAND CRU,RED,,72,BT,OWC12,135.0,95+
71,2008,CH. COUTET,BARSAC          ,SWEET,1CC,12,BT,OWC12,30.0,92
72,2008,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,336,BT,OWC6,26.5,90
73,2008,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,600,BT,-,70.0,94
74,2008,CH. FARGUES (DE),SAUTERNES       ,SWEET,,6,BT,OWC6,68.0,95
75,2008,CH. GRESSIER GRAND POUJEAUX ,MOULIS,RED,,600,BT,CB12,11.0,
76,2008,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,12,BT,OWC12,130.0,92
77,2008,CH. MARGAUX,MARGAUX         ,RED,1CC,42,BT,OWC6,390.0,94
78,2008,CH. MARQUIS D'ALESME,MARGAUX         ,RED,5CC,36,BT,OWC12,34.0,83-85
79,2008,CH. PAVIE DECESSE,SAINT EMILION GRAND CRU,RED,CC,12,BT,OWC12,77.0,94+
80,2008,CH. PICHON LALANDE,PAUILLAC,RED,2CC,300,BT,OWC6,95.0,92
81,2008,CH. PONTET CANET,PAUILLAC        ,RED,5CC,258,BT,OWC12,86.0,96
82,2009,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,60,BT,OWC12,185.0,93
83,2009,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,29,BT,-,1205.0,98+
84,2009,CH. BOUSCAUT BLANC,PESSAC LEOGNAN  ,WHITE,CC,36,BT,OWC12,19.8,-
85,2009,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,48,BT,OWC6,89.0,87-90
86,2009,CH. COUHINS ROUGE,PESSAC LEOGNAN,RED,CC,48,BT,OWC12,19.0,-
87,2009,CH. COUTET,BARSAC          ,SWEET,1CC,216,BT,OWC12,42.0,95
88,2009,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,564,BT,-,80.0,97
89,2009,CH. LAFITE ROTHSCHILD,PAUILLAC        ,RED,1CC,12,BT,OWC12,680.0,99+
90,2009,CH. LEOVILLE LAS CASES,SAINT JULIEN,RED,2CC,6,BT,OWC6,215.0,98
91,2009,CH. LEOVILLE POYFERRE,SAINT JULIEN    ,RED,2CC,138,BT,-,180.0,100
92,2009,CH. LYNCH BAGES,PAUILLAC        ,RED,5CC,48,BT,OWC12,155.0,92
93,2009,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN  ,WHITE,CC,228,BT,OWC12,45.6,95
94,2009,CH. MARGAUX,MARGAUX         ,RED,1CC,54,BT,-,720.0,99
95,2009,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN  ,RED,CC,120,BT,-,625.0,100
96,2009,CH. MOUTON ROTHSCHILD,PAUILLAC        ,RED,1CC,300,BT,OWC12,640.0,99
97,2009,CH. PALMER,MARGAUX         ,RED,3CC,300,BT,,245.0,97
98,2009,CH. PONTET CANET,PAUILLAC        ,RED,5CC,324,BT,-,182.0,100
99,2009,CH. VAL DE ROC,BORDEAUX SUPERIEUR,RED,,428,BT,OWC12,6.0,-
100,2009,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,24,BT,OWC12,87.5,92
101,2009,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,156,BT,OWC12,175.0,95
102,2009,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,120,BT,OWC12,34.0,91
103,2010,CARRUADES DE LAFITE,PAUILLAC,RED,2nd,60,BT,OWC12,172.0,94
104,2010,CH. AUSONE,SAINT EMILION GRAND CRU,RED,CC1A,25,BT,-,1300.0,98+
105,2010,CH. BERNADOTTE,HAUT MEDOC,RED,,11,BT,OWC12,12.0,89
106,2010,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,210,BT,OWC6,70.0,96
107,2010,CH. CONSEILLANTE (LA),POMEROL         ,RED,,12,BT,OWC12,155.0,96
108,2010,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,36,BT,OWC12,197.0,97+
109,2010,CH. COUHINS BLANC,PESSAC LEOGNAN  ,WHITE,,120,BT,OWC12,14.4,-
110,2010,CH. COUTET,BARSAC          ,SWEET,1CC,216,BT,OWC12,40.0,93-95
111,2010,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC6,36.0,93
112,2010,CH. DUHART MILON ROTHSCHILD,PAUILLAC,RED,4CC,390,BT,OWC6,65.0,96
113,2010,CH. HAUT BRION ROUGE,PESSAC LEOGNAN  ,RED,1CC,84,BT,-,700.0,100
114,2010,CH. LEOVILLE LAS CASES,SAINT JULIEN    ,RED,2CC,12,BT,OWC12,189.0,96+
115,2010,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN  ,WHITE,CC,48,BT,OWC12,43.0,93
116,2010,CH. MARGAUX,MARGAUX         ,RED,1CC,93,BT,-,660.0,99
117,2010,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN  ,RED,CC,192,BT,OWC12,585.0,98+
118,2010,CH. PAVIE,SAINT EMILION GRAND CRU   ,RED,CC1A,300,BT,OWC6,310.0,100
119,2010,CH. PICHON BARON,PAUILLAC        ,RED,2CC,24,BT,OWC12,145.0,97+
120,2010,CH. PICHON LALANDE,PAUILLAC        ,RED,2CC,252,BT,OWC12,135.0,95+
121,2010,CH. PONTET CANET,PAUILLAC        ,RED,5CC,300,BT,OWC12,175.0,100
122,2010,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,60,BT,OWC6,42.0,90-92
123,2010,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,96,BT,OWC12,103.0,93
124,2010,MAROJALLIA,MARGAUX         ,RED,,12,BT,OWC12,52.0,95
125,2010,PAVILLON ROUGE DU CHATEAU MARGAUX,MARGAUX,RED,2nd,60,BT,OWC6,125.0,94
126,2010,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,486,BT,OWC12,29.5,89
127,2011,CARMES DE RIEUSSEC,SAUTERNES       ,SWEET,,600,BT,CB6,13.1,-
128,2011,CH. AUSONE,SAINT EMILION GRAND CRU   ,RED,CC1A,36,BT,-,553.0,95+
129,2011,CH. BERNADOTTE,HAUT MEDOC   ,RED,,360,BT,OWC12,10.0,86
130,2011,CH. BRANON,PESSAC LEOGNAN  ,RED,,12,BT,OWC6,47.8,94
131,2011,CH. CANON LA GAFFELIERE,SAINT EMILION GRAND CRU   ,RED,CC1B,24,BT,OWC12,41.5,91
132,2011,CH. CANTEMERLE,HAUT MEDOC   ,RED,5CC,6,BT,OWC6,19.5,91
133,2011,CH. CAPBERN GASQUETON,SAINT ESTEPHE   ,RED,,120,BT,OWC12,11.3,85
134,2011,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,49.0,96
135,2011,CH. CONSEILLANTE (LA),POMEROL         ,RED,,156,BT,OWC12,72.0,92
136,2011,CH. COS D'ESTOURNEL,SAINT ESTEPHE   ,RED,2CC,60,BT,OWC6,102.0,91
137,2011,CH. COTE DE BALEAU,SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,12.0,86
138,2011,CH. COUTET,BARSAC          ,SWEET,1CC,258,BT,-,37.0,94-96
139,2011,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,24,BT,OWC12,22.5,90
140,2011,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC6,28.0,93
141,2011,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,600,BT,-,57.0,89-91
142,2011,CH. EVANGILE (L'),POMEROL         ,RED,,558,BT,OWC6,98.0,88-90
143,2011,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,,480,BT,CB12,11.3,85
144,2011,CH. FOURCAS DUPRE,LISTRAC         ,RED,,60,BT,OWC12,7.8,84
145,2011,CH. GAY (LE),POMEROL         ,RED,,84,BT,OWC12,69.0,94
146,2011,CH. GAZIN,POMEROL         ,RED,,132,BT,OWC12,44.0,93+
147,2011,CH. GLORIA,SAINT JULIEN    ,RED,,24,BT,OWC12,22.0,
148,2011,CH. GRESSIER GRAND POUJEAUX ,MOULIS,RED,,600,BT,CB12,9.8,
149,2011,CH. GRUAUD LAROSE,SAINT JULIEN,RED,2CC,24,BT,OWC12,42.0,89
150,2011,CH. GUIRAUD,SAUTERNES       ,SWEET,1CC,72,DM,OWC24,22.0,88-90
151,2011,CH. HAUT BATAILLEY,PAUILLAC        ,RED,5CC,48,BT,OWC12,24.0,88
152,2011,CH. HAUT MARBUZET,SAINT ESTEPHE   ,RED,,48,BT,OWC12,21.0,88
153,2011,CH. LARCIS DUCASSE,SAINT EMILION GRAND CRU   ,RED,CC1B,168,BT,OWC12,34.2,90
154,2011,CH. LEOVILLE BARTON,SAINT JULIEN    ,RED,2CC,48,BT,OWC12,48.0,88+
155,2011,CH. LOUIS,SAINT EMILION GRAND CRU   ,RED,,108,BT,OWC12,26.1,93
156,2011,CH. MAGREZ FOMBRAUGE,BORDEAUX BLANC,WHITE,,12,BT,OWC6,13.7,89-91
157,2011,CH. MARGAUX,MARGAUX         ,RED,1CC,12,BT,OWC6,370.0,93
158,2011,CH. MAUVESIN BARTON,MOULIS          ,RED,,240,BT,OWC12,9.4,-
159,2011,CH. MEYNEY,SAINT ESTEPHE   ,RED,,204,BT,OWC12,18.6,88-90
160,2011,CH. MISSION HAUT BRION BLANC (LA),PESSAC LEOGNAN  ,WHITE,CC,60,BT,OWC12,600.0,94
161,2011,CH. MONTROSE,SAINT ESTEPHE   ,RED,2CC,600,BT,OWC12,69.0,89+
162,2011,CH. MOULIN SAINT GEORGES,SAINT EMILION GRAND CRU   ,RED,,24,BT,OWC12,19.8,88
163,2011,CH. MOUTON ROTHSCHILD,PAUILLAC        ,RED,1CC,300,BT,-,360.0,92+
164,2011,CH. OLIVIER ROUGE,PESSAC LEOGNAN  ,RED,CC,228,BT,OWC12,17.5,89
165,2011,CH. ORMES DE PEZ (LES),SAINT ESTEPHE   ,RED,,204,BT,OWC12,18.0,87-89
166,2011,CH. PAVIE MACQUIN,SAINT EMILION GRAND CRU   ,RED,CC1B,390,BT,-,42.0,92+
167,2011,CH. PONTET CANET,PAUILLAC        ,RED,5CC,204,BT,OWC12,69.0,93+
168,2011,CH. POTENSAC,MEDOC           ,RED,,372,BT,OWC12,13.2,85
169,2011,CH. QUINAULT L'ENCLOS,SAINT EMILION GRAND CRU,RED,CC,168,BT,OWC12,19.2,89
170,2011,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,,60,BT,OWC12,95.2,89
171,2011,CH. RETOUT (DU),HAUT MEDOC,RED,CB,24,BT,OWC12,5.8,86
172,2011,CH. REYNON,CADILLAC COTES DE BORDEAUX,RED,,96,BT,OWC12,7.1,83-85
173,2011,CH. RIEUSSEC,SAUTERNES       ,SWEET,1CC,600,BT,OWC6,43.0,91-93
174,2011,CH. SAINT PIERRE,SAINT JULIEN    ,RED,4CC,396,BT,OWC12,32.7,87+
175,2011,CH. SIRAN,MARGAUX         ,RED,,60,BT,OWC12,16.3,84
176,2011,CH. SMITH HAUT LAFITTE BLANC,PESSAC LEOGNAN,WHITE,,12,BT,OWC12,58.0,89
177,2011,CH. TEYSSIER,SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,10.0,88
178,2011,CH. TRONQUOY LALANDE,SAINT ESTEPHE   ,RED,,600,BT,OWC12,19.0,88
179,2011,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU   ,RED,CC1B,660,BT,OWC12,55.0,95
180,2011,CHAPELLE DE LA MISSION HAUT BRION (LA),PESSAC LEOGNAN  ,RED,2nd,480,BT,OWC12,46.0,88
181,2011,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN  ,RED,2nd,600,BT,-,66.8,90
182,2011,CLOS DU MARQUIS,SAINT JULIEN    ,RED,2nd,12,BT,OWC12,31.0,89+
183,2011,CLOS FOURTET,SAINT EMILION GRAND CRU   ,RED,CC1B,7,BT,VRAC,55.0,93
184,2011,CLOS L'EGLISE,POMEROL         ,RED,,24,BT,OWC6,60.0,93
185,2011,CROIX DE BEAUCAILLOU (LA),SAINT JULIEN    ,RED,2nd,600,BT,OWC12,24.0,88
186,2011,DAME DE MONTROSE (LA),SAINT ESTEPHE   ,RED,2nd,600,BT,OWC12,22.2,86
187,2011,DOME (LE),SAINT EMILION GRAND CRU,RED,,600,BT,OWC12,69.0,94
188,2011,DULUC DE BRANAIRE,SAINT JULIEN,RED,2nd,504,BT,OWC6,15.5,-
189,2011,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,12,BT,OWC12,140.0,90-92
190,2011,FORTS DE LATOUR (LES),PAUILLAC        ,RED,2nd,6,BT,OWC6,140.0,90-92
191,2011,MAROJALLIA,MARGAUX         ,RED,,120,BT,OWC12,48.0,92
192,2011,MARQUIS DE CALON (LE),SAINT ESTEPHE   ,RED,2nd,240,BT,OWC12,13.45,85
193,2011,PAGODES DE COS (LES),SAINT ESTEPHE   ,RED,2nd,24,BT,OWC12,29.0,88
194,2011,PARDE DE HAUT BAILLY (LA),PESSAC LEOGNAN  ,RED,2nd,84,BT,OWC12,16.2,89
195,2011,VIEUX CHÂTEAU CERTAN,POMEROL         ,RED,,90,BT,OWC12,115.0,91
196,2011,VIEUX CHÂTEAU SAINT ANDRE,MONTAGNE SAINT EMILION,RED,,180,BT,OWC12,8.0,-
197,2012,BRIO DE CANTENAC BROWN,MARGAUX,RED,2nd,66,BT,CB6,14.5,-
198,2012,CARMES DE RIEUSSEC,SAUTERNES,SWEET,,600,BT,CB6,13.5,-
199,2012,CH. BERLIQUET,SAINT EMILION GRAND CRU,RED,CC,108,BT,OWC12,19.9,89+
200,2012,CH. BOYD CANTENAC,MARGAUX,RED,3CC,12,BT,OWC12,32.2,-
