,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
268,2004,CH. MOUTON ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/3,1800,90,,93,94
269,2005,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,12,cs,,540,97,,95,98
270,2006,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,8,cs,,465,96,,94,95
271,2007,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,10,cs,,368,,**** 18,92,94
272,2008,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,25,cs,,478,94,***** 18.5,94,94
273,2009,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,5,cs,,650,99,***** 19,98,98
274,2010,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,8,cs,,680,97+,**** 17,98,100
275,2010,CH. MOUTON ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/3,2780,97+,**** 17,98,100
276,2011,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,30,cs,,360,92,17.5,95,94
277,2012,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,1,cs,,350,95,18.50,95,97
278,2012,CH. MOUTON ROTHSCHILD,Mag.,1ST GCC,Pauillac,3,cs,,690,95,18.50,95,97
279,2012,CH. MOUTON ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/1,1550,95,18.50,95,97
280,2012,CH. MOUTON ROTHSCHILD,Jero.,1ST GCC,Pauillac,1,cs,/1,2450,95,18.50,95,97
281,2012,CH. MOUTON ROTHSCHILD,Imp.,1ST GCC,Pauillac,1,cs,/1,2950,95,18.50,95,97
282,2013,CH. MOUTON ROTHSCHILD,,1ST GCC,Pauillac,10,cs,,315,91-93,18.25,91-94,92-93
283,2013,CH. MOUTON ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/3,1295,91-93,18.25,91-94,92-93
284,2013,CH. MOUTON ROTHSCHILD,Jero.,1ST GCC,Pauillac,1,cs,/1,2150,91-93,18.25,91-94,92-93
285,2013,CH. MOUTON ROTHSCHILD,Imp.,1ST GCC,Pauillac,1,cs,/1,2550,91-93,18.25,91-94,92-93
286,,,,,,,,,,,,,
287,2010,CH. PEDESCLAUX,,5TH GCC,Pauillac,9,cs,,29,89,**** 17,91,93
288,2011,CH. PEDESCLAUX,,5TH GCC,Pauillac,350,cs,,24,89,**** 16.5,89,91
289,2012,CH. PEDESCLAUX,,5TH GCC,Pauillac,90,cs,,24,89,16.25,90,90-91
290,2012,CH. PEDESCLAUX,Half,5TH GCC,Pauillac,30,cs,,12.5,89,16.25,90,90-91
291,2012,CH. PEDESCLAUX,Mag.,5TH GCC,Pauillac,7,cs,,48,89,16.25,90,90-91
292,2013,CH. PEDESCLAUX,,5TH GCC,Pauillac,250,cs,,19,88-90,16.5,90,89-90
293,2013,CH. PEDESCLAUX,Half,5TH GCC,Pauillac,10,cs,,10.25,88-90,16.5,90,89-90
294,2013,CH. PEDESCLAUX,Mag.,5TH GCC,Pauillac,10,cs,,38,88-90,16.5,90,89-90
295,2013,CH. PEDESCLAUX,Jero.,5TH GCC,Pauillac,1,cs,/1,165,88-90,16.5,90,89-90
296,2013,CH. PEDESCLAUX,Imp.,5TH GCC,Pauillac,1,cs,/1,198,88-90,16.5,90,89-90
297,2014,CH. PEDESCLAUX,,5TH GCC,Pauillac,300,cs,,24,,16.75/20,88-91,
298,2014,CH. PEDESCLAUX,Half,5TH GCC,Pauillac,10,cs,,13,,16.75/20,88-91,
299,2014,CH. PEDESCLAUX,Mag.,5TH GCC,Pauillac,10,cs,,50,,16.75/20,88-91,
300,,,,,,,,,,,,,
301,2005,PETIT MOUTON,,2nd label of Ch. Mouton Rothschild,Pauillac,10,cs,/6,170,90,**** 17,89,91
302,2007,PETIT MOUTON,Mag.,2nd label of Ch. Mouton Rothschild,Pauillac,10,cs,,278,84-87,**** 16.5,85-88,
303,2009,PETIT MOUTON,,2nd label of Ch. Mouton Rothschild,Pauillac,3,cs,/6,165,90,**** 17.5,91,94
304,2010,PETIT MOUTON,,2nd label of Ch. Mouton Rothschild,Pauillac,10,cs,/6,158,91,**** 17.5,91,94-95
305,2010,PETIT MOUTON,Mag.,2nd label of Ch. Mouton Rothschild,Pauillac,1,cs,,310,91,**** 17.5,91,94-95
306,2011,PETIT MOUTON,Mag.,2nd label of Ch. Mouton Rothschild,Pauillac,1,cs,,260,87,**** 17,90,91
307,2012,PETIT MOUTON,,2nd label of Ch. Mouton Rothschild,Pauillac,5,cs,/6,152,90,17,90,92
308,2012,PETIT MOUTON,Mag.,2nd label of Ch. Mouton Rothschild,Pauillac,3,cs,,275,90,17,90,92
309,2013,PETIT MOUTON,,2nd label of Ch. Mouton Rothschild,Pauillac,5,cs,/6,140,87-88,16.75,88-91,88-89
310,,,,,,,,,,,,,
311,1995,CH. PICHON BARON,,2ND GCC,Pauillac,3,cs,,132,90,,90,
312,1996,CH. PICHON BARON,,2ND GCC,Pauillac,2,cs,,145,91,,90,
313,2009,CH. PICHON BARON,,2ND GCC,Pauillac,2,cs,,145,98,***** 18.5,95,97
314,2011,CH. PICHON BARON,,2ND GCC,Pauillac,3,cs,,72,91,**** 17.5,92,92-93
315,2013,CH. PICHON BARON,,2ND GCC,Pauillac,20,cs,,65,91-93,17.5,88-91,92-93
316,2013,CH. PICHON BARON,Salma.,2ND GCC,Pauillac,1,cs,/1,800,91-93,17.5,88-91,92-93
317,,,,,,,,,,,,,
318,1990,CH. PICHON LALANDE,,2ND GCC,Pauillac,2,cs,,225,,,94,
319,2003,CH. PICHON LALANDE,,2ND GCC,Pauillac,12,cs,,142,95,,93,
320,2005,CH. PICHON LALANDE,,2ND GCC,Pauillac,4,cs,,105,89,**** 18.5,93,
321,2006,CH. PICHON LALANDE,,2ND GCC,Pauillac,4,cs,,103,95,****,92,
322,2007,CH. PICHON LALANDE,,2ND GCC,Pauillac,18,cs,,82,89,**** 17,,
323,2008,CH. PICHON LALANDE,,2ND GCC,Pauillac,22,cs,,98,94-96,**** 17,89-92,
324,2010,CH. PICHON LALANDE,,2ND GCC,Pauillac,2,cs,,138,95+,*** 16.25,95,94
325,,,,,,,,,,,,,
326,2000,CH. PONTET CANET,,5TH GCC,Pauillac,25,cs,,105,94+,,93,
327,2007,CH. PONTET CANET,,5TH GCC,Pauillac,10,cs,,68,91-94,**** 17.5,88-91,
328,2012,CH. PONTET CANET,,5TH GCC,Pauillac,2,cs,,68,93,18,92,94-95
329,2012,CH. PONTET CANET,DMag.,5TH GCC,Pauillac,1,cs,/3,295,93,18,92,94-95
330,2013,CH. PONTET CANET,,5TH GCC,Pauillac,20,cs,,63,90-92,17.75,89-92,92-93
331,2013,CH. PONTET CANET,Nabu.,5TH GCC,Pauillac,1,cs,/1,1435,90-92,17.75,89-92,92-93
332,2013,CH. PONTET CANET,Balt.,5TH GCC,Pauillac,1,cs,/1,1150,90-92,17.75,89-92,92-93
333,,,,,,,,,,,,,
334,2007,RESERVE DE LA COMTESSE,,2nd label of Ch. Pichon Lalande,Pauillac,8,cs,,28,87,,,
335,2009,RESERVE DE LA COMTESSE,,2nd label of Ch. Pichon Lalande,Pauillac,15,cs,,37,91,**** 17,91,
336,2010,RESERVE DE LA COMTESSE,,2nd label of Ch. Pichon Lalande,Pauillac,150,cs,,31,89,**** 16.5,90,91
337,2014,RESERVE DE LA COMTESSE,,2nd label of Ch. Pichon Lalande,Pauillac,30,cs,,22.8,,16.75/20,88-91,
338,2014,RESERVE DE LA COMTESSE,Half,2nd label of Ch. Pichon Lalande,Pauillac,5,cs,,12,,16.75/20,88-91,
339,2014,RESERVE DE LA COMTESSE,Mag.,2nd label of Ch. Pichon Lalande,Pauillac,5,cs,,45.6,,16.75/20,88-91,
340,,,,,,,,,,,,,
341,SAINT-JULIEN,,,,,,,,,,,,
342,,,,,,,,,,,,,
343,Vint.,Chateau,Format,Comment,Appellation,Qty/cs,,,€/Btl.,Parker,Decanter,W.S,J.S
344,,,,,,,,,,,,,
345,2002,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,1,cs,,75,86,,88,
346,2005,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,2,cs,,100,90,*** 15.5,89-91,
347,2006,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,2,cs,,82,90,***,,
348,2009,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,50,cs,,87,93,**** 17,92,
349,2010,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,5,cs,,80,94,**** 17.5,93,95
350,2011,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,17,cs,,69,87,**** 16.5,91,90
351,2012,CH. BEYCHEVELLE,,4TH GCC,Saint-Julien,8,cs,,62,92+,16.75,90,92
352,,,,,,,,,,,,,
353,2005,CH. BRANAIRE DUCRU,,4TH GCC,Saint-Julien,1,cs,,72,93,**** 17.5,92-94,
354,2011,CH. BRANAIRE DUCRU,,4TH GCC,Saint-Julien,8,cs,,35.8,89,**** 16.5,92,92
355,2011,CH. BRANAIRE DUCRU,Mag.,4TH GCC,Saint-Julien,1,cs,,72,89,**** 16.5,92,92
356,2012,CH. BRANAIRE DUCRU,,4TH GCC,Saint-Julien,12,cs,,33,90,17,90,
357,2013,CH. BRANAIRE DUCRU,,4TH GCC,Saint-Julien,5,cs,,28,90-92,17,89-92,91-92
358,,,,,,,,,,,,,
359,2012,CLOS DU MARQUIS,,from Ch.Léoville Las Cases,Saint-Julien,30,cs,,34.8,91-93,17.5,90,91-92
360,,,,,,,,,,,,,
361,2014,CONNETABLE DE TALBOT,,,Saint-Julien,5,cs,,16.5,,,,
362,,,,,,,,,,,,,
363,2010,CROIX DE BEAUCAILLOU,,From Ch.Ducru Beaucaillou,Saint-Julien,30,cs,,37.5,90,**** 17,91,94
364,2011,CROIX DE BEAUCAILLOU,,From Ch.Ducru Beaucaillou,Saint-Julien,150,cs,,24,88,**** 16.5,90,91
365,2012,CROIX DE BEAUCAILLOU,,From Ch.Ducru Beaucaillou,Saint-Julien,100,cs,,24,87-89,17,89,
366,,,,,,,,,,,,,
367,1970,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,1,cs,/12,300,92,,91,
368,1982,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,4,cs,,380,96,,91,
369,1985,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,2,cs,,135,92,,89,
370,1986,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,7,cs,,135,90+,,95,
371,1988,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,15,cs,,130,88,,92,
372,1989,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,16,cs,,130,89,,92,
373,1990,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,1,cs,,115,,,,
374,1995,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,1,cs,,215,94,,95,
375,1997,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,2,cs,,98,87,,85,
376,2012,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,2,cs,,85,90-92,18.25,93,95
377,2012,CH. DUCRU BEAUCAILLOU,DMag.,2ND GCC,Saint-Julien,2,cs,/1,380,90-92,18.25,93,95
378,2013,CH. DUCRU BEAUCAILLOU,,2ND GCC,Saint-Julien,20,cs,,79,89-91,18,90-93,91-92
379,,,,,,,,,,,,,
380,2010,DULUC DE BRANAIRE DUCRU,,2nd label of Ch. Branaire Ducru,Saint-Julien,6,cs,,19.9,,,91,
381,2011,DULUC DE BRANAIRE DUCRU,,2nd label of Ch. Branaire Ducru,Saint-Julien,40,cs,,16.5,,,,
382,2012,DULUC DE BRANAIRE DUCRU,,2nd label of Ch. Branaire Ducru,Saint-Julien,130,cs,,15.6,,,,
383,,,,,,,,,,,,,
384,2012,LES FIEFS DE LAGRANGE,,2nd label of Ch. Lagrange,Saint-Julien,6,cs,,14.5,,16.25,,
385,2013,LES FIEFS DE LAGRANGE,,2nd label of Ch. Lagrange,Saint-Julien,35,cs,,14.5,,16,,
386,2013,LES FIEFS DE LAGRANGE,Half,2nd label of Ch. Lagrange,Saint-Julien,20,cs,,7.95,,16,,
387,2014,LES FIEFS DE LAGRANGE,,2nd label of Ch. Lagrange,Saint-Julien,20,cs,,15.3,,15.5/20,,
388,2014,LES FIEFS DE LAGRANGE,Half,2nd label of Ch. Lagrange,Saint-Julien,25,cs,,8.4,,15.5/20,,
389,,,,,,,,,,,,,
390,2012,CH. GLORIA,,,Saint-Julien,85,cs,,21.8,88,17,89,
391,2013,CH. GLORIA,,,Saint-Julien,10,cs,,20.6,87-88,16.75,87-90,88-89
392,,,,,,,,,,,,,
393,1994,CH. GRUAUD LAROSE,,2ND GCC,Saint-Julien,78,cs,,52.8,82,,,
394,2005,CH. GRUAUD LAROSE,,2ND GCC,Saint-Julien,2,cs,,83,90,**** 17,89-91,
395,2006,CH. GRUAUD LAROSE,,2ND GCC,Saint-Julien,1,cs,,63,84,***,89-91,
396,2014,CH. GRUAUD LAROSE,,2ND GCC,Saint-Julien,15,cs,,43,,17.5/20,89-92,93-94
397,,,,,,,,,,,,,
398,2005,CH. LAGRANGE,,3RD GCC,Saint-Julien,3,cs,,59,89,**** 17.5,93,96
399,2007,CH. LAGRANGE,,3RD GCC,Saint-Julien,8,cs,,35.8,90,*** 16,89,
400,2010,CH. LAGRANGE,,3RD GCC,Saint-Julien,2,cs,,39.8,89+,****17.25,92,96
401,2012,CH. LAGRANGE,,3RD GCC,Saint-Julien,1,cs,,26,86,17,,92
402,2012,CH. LAGRANGE,Mag.,3RD GCC,Saint-Julien,2,cs,,52,86,17,,92
403,,,,,,,,,,,,,
404,2011,CH. LALANDE,,Cru Bourgeois,Saint-Julien,120,cs,,12.4,,*** 15.5,,
405,2011,CH. LALANDE,Mag.,Cru Bourgeois,Saint-Julien,6,cs,,25,,*** 15.5,,
406,2012,CH. LALANDE,,Cru Bourgeois,Saint-Julien,300,cs,,12.4,,,,
407,2013,CH. LALANDE,,Cru Bourgeois,Saint-Julien,300,cs,,11.4,,15.5,,
408,,,,,,,,,,,,,
409,2011,CH. LALANDE BORIE,,,Saint-Julien,35,cs,,14.95,86,,,
410,2013,CH. LALANDE BORIE,,,Saint-Julien,100,cs,,14.35,85-86,16.5,87-90,87-88
411,2013,CH. LALANDE BORIE,Half,,Saint-Julien,5,cs,,7.98,85-86,16.5,87-90,87-88
412,,,,,,,,,,,,,
413,2005,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,75,cs,,55,86,,92,
414,2007,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,25,cs,,34,87,**** 17,88,
415,2010,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,120,cs,,49,93+,*** 16,94,93
416,2010,CH. LANGOA BARTON,Half,3RD GCC,Saint-Julien,1,cs,,25,93+,*** 16,94,93
417,2011,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,75,cs,,32.5,87+,**** 17,91,92
418,2012,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,50,cs,,32.5,86-88,17.50,88,89-90
419,2012,CH. LANGOA BARTON,Half,3RD GCC,Saint-Julien,3,cs,,17,86-88,17.50,88,89-90
420,2013,CH. LANGOA BARTON,,3RD GCC,Saint-Julien,125,cs,,30,87-89,17,86-89,91-92
421,,,,,,,,,,,,,
422,2005,CH. LEOVILLE BARTON,,2ND GCC,Saint-Julien,2,cs,,105,92,**** 18.5,96,
423,2011,CH. LEOVILLE BARTON,,2ND GCC,Saint-Julien,40,cs,,49.5,88+,**** 17.5,92,92
424,2012,CH. LEOVILLE BARTON,,2ND GCC,Saint-Julien,20,cs,,49.5,92,17.75,89,91-92
425,2012,CH. LEOVILLE BARTON,Half,2ND GCC,Saint-Julien,1,cs,,25.5,92,17.75,89,91-92
426,2012,CH. LEOVILLE BARTON,Mag.,2ND GCC,Saint-Julien,1,cs,,100,92,17.75,89,91-92
427,2013,CH. LEOVILLE BARTON,,2ND GCC,Saint-Julien,150,cs,,45,90-92,17.5,90-93,91-92
428,2013,CH. LEOVILLE BARTON,Half,2ND GCC,Saint-Julien,8,cs,,22.8,90-92,17.5,90-93,91-92
429,2013,CH. LEOVILLE BARTON,Mag.,2ND GCC,Saint-Julien,10,cs,,90,90-92,17.5,90-93,91-92
430,2013,CH. LEOVILLE BARTON,Salma.,2ND GCC,Saint-Julien,1,cs,/1,695,90-92,17.5,90-93,91-92
431,2013,CH. LEOVILLE BARTON,Nabu.,2ND GCC,Saint-Julien,1,cs,/1,1080,90-92,17.5,90-93,91-92
432,2013,CH. LEOVILLE BARTON,Melc.,2ND GCC,Saint-Julien,1,cs,/1,1280,90-92,17.5,90-93,91-92
433,2013,CH. LEOVILLE BARTON,Balt.,2ND GCC,Saint-Julien,1,cs,/1,830,90-92,17.5,90-93,91-92
434,,,,,,,,,,,,,
435,1998,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,1,cs,,160,93,,,
436,1999,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,20,cs,,150,91,,94,
437,2005,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,15,cs,,250,97+,,100,
438,2008,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,20,cs,,132,93+,***** 19,94,95
439,2009,CH. LEOVILLE LAS CASES,Mag.,2ND GCC,Saint-Julien,1,cs,,540,98+,***** 19,98,99+
440,2010,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,48,cs,,185,96+,*** 16.5,99,99
441,2010,CH. LEOVILLE LAS CASES,Half,2ND GCC,Saint-Julien,2,cs,,98,96+,*** 16.5,99,99
442,2010,CH. LEOVILLE LAS CASES,DMag.,2ND GCC,Saint-Julien,1,cs,/3,850,96+,*** 16.5,99,99
443,2010,CH. LEOVILLE LAS CASES,Imp.,2ND GCC,Saint-Julien,2,cs,/1,1720,96+,*** 16.5,99,99
444,2011,CH. LEOVILLE LAS CASES,,2ND GCC,Saint-Julien,13,cs,,112,93+,**** 17,95,95
445,2012,CH. LEOVILLE LAS CASES,Jero.,2ND GCC,Saint-Julien,1,cs,/1,780,93,18.25,94,93
446,2012,CH. LEOVILLE LAS CASES,Imp.,2ND GCC,Saint-Julien,1,cs,/1,940,93,18.25,94,93
447,,,,,,,,,,,,,
448,2012,CH. LEOVILLE POYFERRE,Mag.,2ND GCC,Saint-Julien,4,cs,,96,92+,17.50,91,92
449,2012,CH. LEOVILLE POYFERRE,DMag.,2ND GCC,Saint-Julien,1,cs,/1,230,92+,17.50,91,92
450,2012,CH. LEOVILLE POYFERRE,Jero.,2ND GCC,Saint-Julien,1,cs,/1,365,92+,17.50,91,92
451,2012,CH. LEOVILLE POYFERRE,Imp.,2ND GCC,Saint-Julien,1,cs,/1,460,92+,17.50,91,92
452,2013,CH. LEOVILLE POYFERRE,Mag.,2ND GCC,Saint-Julien,3,cs,,82,90-92,17.5,89-92,90-91
453,,,,,,,,,,,,,
454,2009,LE PETIT LION DU MARQUIS DE LAS CASES,,2nd label of Ch. Léoville Las Cases,Saint-Julien,115,cs,,43,88,,88-91,91
455,2010,LE PETIT LION DU MARQUIS DE LAS CASES,,2nd label of Ch. Léoville Las Cases,Saint-Julien,160,cs,,38.5,85,*** 16,91,90-91
456,2011,LE PETIT LION DU MARQUIS DE LAS CASES,Mag.,2nd label of Ch. Léoville Las Cases,Saint-Julien,2,cs,,59.8,87-88,*** 16,89,
457,,,,,,,,,,,,,
458,2011,CH. SAINT PIERRE,,4TH GCC,Saint-Julien,1,cs,,35,87+,**** 17,90,87
459,2012,CH. SAINT PIERRE,,4TH GCC,Saint-Julien,1,cs,,32,91,17.50,,
460,2013,CH. SAINT PIERRE,,4TH GCC,Saint-Julien,9,cs,,28.8,88-90,17,,
461,,,,,,,,,,,,,
462,2014,SARGET DE GRUAUD LAROSE,,,Saint-Julien,50,cs,,18.5,,,86-89,90-91
463,,,,,,,,,,,,,
464,1994,CH. TALBOT,Mag.,4TH GCC,Saint-Julien,1,cs,,108,85,,87,
465,1995,CH. TALBOT,DMag.,4TH GCC,Saint-Julien,1,cs,/3,450,88,,90,
466,2000,CH. TALBOT,,4TH GCC,Saint-Julien,3,cs,,98,93,,93,
467,2001,CH. TALBOT,,4TH GCC,Saint-Julien,1,cs,,72,89,,90,
468,2005,CH. TALBOT,,4TH GCC,Saint-Julien,15,cs,,67,89,*** 16.5,92,
469,2006,CH. TALBOT,,4TH GCC,Saint-Julien,20,cs,,59,89,****,91,91
470,2006,CH. TALBOT,Mag.,4TH GCC,Saint-Julien,1,cs,,118,89,****,91,91
471,2008,CH. TALBOT,,4TH GCC,Saint-Julien,11,cs,,55,90,*** 16,89,
472,,,,,,,,,,,,,
473,MARGAUX,,,,,,,,,,,,
474,,,,,,,,,,,,,
475,Vint.,Chateau,Format,Comment,Appellation,Qty/cs,,,€/Btl.,Parker,Decanter,W.S,J.S
476,,,,,,,,,,,,,
477,2006,ALTER EGO DE PALMER,Mag.,2nd label of Ch.Palmer,Margaux,1,cs,/3,128,87,****,89-91,
478,2012,ALTER EGO DE PALMER,,2nd label of Ch.Palmer,Margaux,70,cs,,51,93,17.25,90,94
479,2013,ALTER EGO DE PALMER,,2nd label of Ch.Palmer,Margaux,150,cs,,39.8,81-84,16.5,87-90,88-89
480,2013,ALTER EGO DE PALMER,Mag.,2nd label of Ch.Palmer,Margaux,5,cs,,80,81-84,16.5,87-90,88-89
481,,,,,,,,,,,,,
482,2011,LE BARON DE BRANE,,2nd label of Ch. Brane Cantenac,Margaux,60,cs,,16.5,,,,
483,2012,LE BARON DE BRANE,,2nd label of Ch. Brane Cantenac,Margaux,100,cs,,16.5,,,,
484,2012,LE BARON DE BRANE,Mag.,2nd label of Ch. Brane Cantenac,Margaux,3,cs,,33,,,,
485,2012,LE BARON DE BRANE,DMag.,2nd label of Ch. Brane Cantenac,Margaux,1,cs,/1,105,,,,
486,2013,LE BARON DE BRANE,,2nd label of Ch. Brane Cantenac,Margaux,200,cs,,14.5,,,,
487,2013,LE BARON DE BRANE,Half,2nd label of Ch. Brane Cantenac,Margaux,10,cs,,8.15,,,,
488,2013,LE BARON DE BRANE,Mag.,2nd label of Ch. Brane Cantenac,Margaux,10,cs,,31.5,,,,
489,,,,,,,,,,,,,
490,2011,BLASON D'ISSAN,,2nd label of Ch. D'Issan,Margaux,100,cs,,15.5,,*** 16,,
491,2011,BLASON D'ISSAN,Half,2nd label of Ch. D'Issan,Margaux,1,cs,,8.25,,*** 16,,
492,2012,BLASON D'ISSAN,,2nd label of Ch. D'Issan,Margaux,250,cs,,15.5,,15.75,,
493,2013,BLASON D'ISSAN,,2nd label of Ch. D'Issan,Margaux,200,cs,,14.5,,16,,86-87
494,2013,BLASON D'ISSAN,Half,2nd label of Ch. D'Issan,Margaux,15,cs,,7.95,,16,,86-87
495,2013,BLASON D'ISSAN,Mag.,2nd label of Ch. D'Issan,Margaux,10,cs,,29.5,,16,,86-87
496,2014,BLASON D'ISSAN,,2nd label of Ch. D'Issan,Margaux,250,cs,,14.5,,,,
497,2014,BLASON D'ISSAN,Half,2nd label of Ch. D'Issan,Margaux,25,cs,,8.25,,,,
498,2014,BLASON D'ISSAN,Mag.,2nd label of Ch. D'Issan,Margaux,5,cs,,30.75,,,,
499,,,,,,,,,,,,,
500,2013,CH. BOYD CANTENAC,,3RD GCC,Margaux,1,cs,,32,,17,,
501,,,,,,,,,,,,,
502,2005,CH. BRANE CANTENAC,,2ND GCC,Margaux,1,cs,,90,95,**** 18,89-91,
503,2006,CH. BRANE CANTENAC,,2ND GCC,Margaux,1,cs,,51,92,***,90,
504,2010,CH. BRANE CANTENAC,,2ND GCC,Margaux,1,cs,,65,95+,*** 16.5,93,94
505,,,,,,,,,,,,,
506,2012,BRIO DU CH. CANTENAC BROWN,,2nd label of Ch. Cantenac Brown,Margaux,35,cs,,17.4,,,,
507,2013,BRIO DU CH. CANTENAC BROWN,,2nd label of Ch. Cantenac Brown,Margaux,90,cs,,15.5,,,,
508,2013,BRIO DU CH. CANTENAC BROWN,Mag.,2nd label of Ch. Cantenac Brown,Margaux,10,cs,,31.65,,,,
509,,,,,,,,,,,,,
510,1989,CH. CANTENAC BROWN,,3RD GCC,Margaux,1,cs,,58,,,,
511,2005,CH. CANTENAC BROWN,,3RD GCC,Margaux,9,cs,,60,87+,*** 16,91,
512,2009,CH. CANTENAC BROWN,,3RD GCC,Margaux,3,cs,,53,90,**** 17,93-96,
513,2011,CH. CANTENAC BROWN,,3RD GCC,Margaux,30,cs,,32.5,87,*** 16,90,90
514,2012,CH. CANTENAC BROWN,,3RD GCC,Margaux,35,cs,,29.6,88+,16.75,93,92
515,2012,CH. CANTENAC BROWN,Half,3RD GCC,Margaux,9,cs,,14.8,88+,16.75,93,92
516,2013,CH. CANTENAC BROWN,,3RD GCC,Margaux,3,cs,,25,88-90+,16.5,86-89,88-89
517,2013,CH. CANTENAC BROWN,Half,3RD GCC,Margaux,4,cs,,13.5,88-90+,16.5,86-89,88-89
518,2013,CH. CANTENAC BROWN,Mag.,3RD GCC,Margaux,5,cs,,51,88-90+,16.5,86-89,88-89
519,,,,,,,,,,,,,
520,2009,CONFIDENCES DE PRIEURE LICHINE,,2nd label of Ch.Prieure Lichine,Margaux,20,cs,,16.5,,,89,
521,2014,CONFIDENCES DE PRIEURE LICHINE,,2nd label of Ch.Prieure Lichine,Margaux,250,cs,,12.95,,,,
522,,,,,,,,,,,,,
523,2010,CH. DESMIRAIL,,3RD GCC,Margaux,35,cs,,29,,****17.5,91,91-92
524,2011,CH. DESMIRAIL,,3RD GCC,Margaux,17,cs,,20,,*** 16,90,
525,2011,CH. DESMIRAIL,Half,3RD GCC,Margaux,15,cs,,10.5,,*** 16,90,
526,2012,CH. DESMIRAIL,,3RD GCC,Margaux,200,cs,,19.4,,16.75,88-91,
527,2012,CH. DESMIRAIL,Half,3RD GCC,Margaux,40,cs,,10,,16.75,88-91,
528,2012,CH. DESMIRAIL,Mag.,3RD GCC,Margaux,4,cs,,38.5,,16.75,88-91,
529,2013,CH. DESMIRAIL,,3RD GCC,Margaux,100,cs,,18.25,,16.25,86-89,84-85
530,2013,CH. DESMIRAIL,Half,3RD GCC,Margaux,3,cs,,9.9,,16.25,86-89,84-85
531,2013,CH. DESMIRAIL,Mag.,3RD GCC,Margaux,5,cs,,36.8,,16.25,86-89,84-85
532,,,,,,,,,,,,,
533,2009,CH. DURFORT VIVENS,,2ND GCC,Margaux,80,cs,,40,89,**** 17.5,90,93
534,2012,CH. DURFORT VIVENS,Half,2ND GCC,Margaux,12,cs,,14.8,,,88-91,
535,2012,CH. DURFORT VIVENS,Mag.,2ND GCC,Margaux,1,cs,,59,,,88-91,
536,2013,CH. DURFORT VIVENS,Half,2ND GCC,Margaux,5,cs,,11.75,,17.25,79-82,88-89
537,2013,CH. DURFORT VIVENS,Mag.,2ND GCC,Margaux,1,cs,,46,,17.25,79-82,88-89
538,,,,,,,,,,,,,
539,1999,CH. FERRIERE,,3RD GCC,Margaux,30,cs,,43,,,90,
540,2010,CH. FERRIERE,,3RD GCC,Margaux,12,cs,,44,85-87,**** 17,89,91-92
541,,,,,,,,,,,,,
542,1996,CH. GISCOURS,,3RD GCC,Margaux,1,cs,,63,,,,
543,1997,CH. GISCOURS,,3RD GCC,Margaux,1,cs,,48,,,,
544,2005,CH. GISCOURS,,3RD GCC,Margaux,8,cs,,69,91,**** 17.5,93,
