,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
67,2011,CH. LAFON ROCHET,,4TH GCC,Saint-Estephe,15,cs,,31,87,**** 17,89-92,88
68,2012,CH. LAFON ROCHET,,4TH GCC,Saint-Estephe,19,cs,,29.5,90-92,17,88,90-91
69,2013,CH. LAFON ROCHET,Half,4TH GCC,Saint-Estephe,2,cs,,11.75,86-88,17,86-89,
70,2013,CH. LAFON ROCHET,Mag.,4TH GCC,Saint-Estephe,3,cs,,44.5,86-88,17,86-89,
71,,,,,,,,,,,,,
72,2012,CH. LILIAN LADOUYS,, Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,250,cs,,13.5,85,15.5,,
73,2012,CH. LILIAN LADOUYS,Half, Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,14,cs,,6.95,85,15.5,,
74,2012,CH. LILIAN LADOUYS,Mag., Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,7,cs,,28,85,15.5,,
75,2013,CH. LILIAN LADOUYS,, Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,40,cs,,11.6,86-88,16,85-88,88-89
76,2013,CH. LILIAN LADOUYS,Half, Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,25,cs,,5.95,86-88,16,85-88,88-89
77,2013,CH. LILIAN LADOUYS,Mag., Same Owner than Ch.Pedesclaux - Cru Bourgeois,Saint-Estephe,10,cs,,23.75,86-88,16,85-88,88-89
78,,,,,,,,,,,,,
79,2011,MARQUIS DE CALON,,2nd label of Ch. Calon Ségur,Saint-Estephe,15,cs,,14.25,85,*** 16,,
80,2012,MARQUIS DE CALON,,2nd label of Ch. Calon Ségur,Saint-Estephe,160,cs,,14.25,87,16,,
81,,,,,,,,,,,,,
82,1993,CH. MONTROSE,,2ND GCC,Saint-Estephe,3,cs,,75,,,,
83,1998,CH. MONTROSE,,2ND GCC,Saint-Estephe,10,cs,,110,90,,,
84,2000,CH. MONTROSE,,2ND GCC,Saint-Estephe,2,cs,,175,95+,,,
85,2004,CH. MONTROSE,,2ND GCC,Saint-Estephe,1,cs,,79,91,,,
86,2005,CH. MONTROSE,,2ND GCC,Saint-Estephe,20,cs,,132,94+,***** 19,94,
87,2007,CH. MONTROSE,,2ND GCC,Saint-Estephe,4,cs,,67,91,**** 18,,
88,2007,CH. MONTROSE,Mag.,2ND GCC,Saint-Estephe,1,cs,,135,91,**** 18,,
89,2009,CH. MONTROSE,,2ND GCC,Saint-Estephe,8,cs,,245,100,***** 19,97-100,
90,2011,CH. MONTROSE,Mag.,2ND GCC,Saint-Estephe,2,cs,,150,89+,**** 18,93,92
91,2012,CH. MONTROSE,,2ND GCC,Saint-Estephe,5,cs,,59.8,92+,18.25,92,94
92,2013,CH. MONTROSE,,2ND GCC,Saint-Estephe,7,cs,,57.6,87-89,18,90-93,91-92
93,,,,,,,,,,,,,
94,2010,CH. ORMES DE PEZ,,From Ch. Lynch Bages,Saint-Estephe,130,cs,,25,88,**** 17,91,95
95,2011,CH. ORMES DE PEZ,,From Ch. Lynch Bages,Saint-Estephe,300,cs,,18.5,86,*** 16+,90,90-91
96,2011,CH. ORMES DE PEZ,Half,From Ch. Lynch Bages,Saint-Estephe,3,cs,,10.4,86,*** 16+,90,90-91
97,2012,CH. ORMES DE PEZ,,From Ch. Lynch Bages,Saint-Estephe,250,cs,,17,87,16.5,,92
98,2012,CH. ORMES DE PEZ,Half,From Ch. Lynch Bages,Saint-Estephe,5,cs,,9.5,87,16.5,,92
99,2013,CH. ORMES DE PEZ,,From Ch. Lynch Bages,Saint-Estephe,100,cs,,15.9,85-87,16.5,86-89,
100,2013,CH. ORMES DE PEZ,Half,From Ch. Lynch Bages,Saint-Estephe,5,cs,,8.9,85-87,16.5,86-89,
101,2013,CH. ORMES DE PEZ,Mag.,From Ch. Lynch Bages,Saint-Estephe,2,cs,,33,85-87,16.5,86-89,
102,,,,,,,,,,,,,
103,2006,LES PAGODES DE COS,,2nd label of Ch. Cos d'Estournel,Saint-Estephe,1,cs,,39,88,***,85-88,
104,2007,LES PAGODES DE COS,,2nd label of Ch. Cos d'Estournel,Saint-Estephe,2,cs,,35,,*** 16,,
105,2008,LES PAGODES DE COS,,2nd label of Ch. Cos d'Estournel,Saint-Estephe,1,cs,,38,90-92,*** 16,87-90,
106,2010,LES PAGODES DE COS,,2nd label of Ch. Cos d'Estournel,Saint-Estephe,90,cs,,40,93,**** 17,90,91
107,2010,LES PAGODES DE COS,Half,2nd label of Ch. Cos d'Estournel,Saint-Estephe,5,cs,,21.8,93,**** 17,90,91
108,2011,LES PAGODES DE COS,,2nd label of Ch. Cos d'Estournel,Saint-Estephe,25,cs,,33.9,88,,88,91
109,,,,,,,,,,,,,
110,1993,CH. PHELAN SEGUR,,,Saint-Estephe,1,cs,,35,,,90,
111,2011,CH. PHELAN SEGUR,,,Saint-Estephe,45,cs,,24.8,88,**** 16.5,90,91-92
112,2012,CH. PHELAN SEGUR,,,Saint-Estephe,50,cs,,23.5,87,16.75,90,
113,2013,CH. PHELAN SEGUR,,,Saint-Estephe,200,cs,,21.4,82-85,16.5,87-90,90-91
114,2013,CH. PHELAN SEGUR,Half,,Saint-Estephe,10,cs,,11.4,82-85,16.5,87-90,90-91
115,2013,CH. PHELAN SEGUR,Mag.,,Saint-Estephe,5,cs,,43.5,82-85,16.5,87-90,90-91
116,2013,CH. PHELAN SEGUR,DMag.,,Saint-Estephe,1,cs,/1,105,82-85,16.5,87-90,90-91
117,,,,,,,,,,,,,
118,2010,CH. SERILHAN,,,Saint-Estephe,5,cs,,12.9,87,*** 16,,92
119,2011,CH. SERILHAN,,,Saint-Estephe,10,cs,,11.9,87-89,*** 16,88,89
120,,,,,,,,,,,,,
121,2009,CH. TRONQUOY LALANDE,,Made by Ch.Montrose,Saint-Estephe,14,cs,,23,91,*** 16+,89,92
122,2010,CH. TRONQUOY LALANDE,,Made by Ch.Montrose,Saint-Estephe,55,cs,,25,92,**** 16.5,90,92
123,2011,CH. TRONQUOY LALANDE,,Made by Ch.Montrose,Saint-Estephe,1,cs,,19.5,88,*** 16+,88-91,
124,2011,CH. TRONQUOY LALANDE,Mag.,Made by Ch.Montrose,Saint-Estephe,1,cs,,39,88,*** 16+,88-91,
125,,,,,,,,,,,,,
126,PAUILLAC,,,,,,,,,,,,
127,,,,,,,,,,,,,
